,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.9136,3.6103744506835938,9.666666666666667e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.8545334339141846,0.11290322580645161,0.1645,376.901,6.079,,,,,
2,2.8294,3.1201486587524414,9.333333333333334e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.7527027130126953,0.1774193548387097,0.1635,379.205,6.116,,,,,
4,2.7482,2.476750373840332,9e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.664515256881714,0.1774193548387097,0.1639,378.23,6.1,,,,,
6,2.6869,3.9110560417175293,8.666666666666667e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.656991720199585,0.1774193548387097,0.1637,378.654,6.107,,,,,
8,2.5618,2.3084254264831543,8.333333333333334e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.5978708267211914,0.1774193548387097,0.1641,377.831,6.094,,,,,
10,2.4848,3.862541675567627,8e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.4783737659454346,0.22580645161290322,0.1647,376.423,6.071,,,,,
12,2.3056,3.4768106937408447,7.666666666666667e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.415996789932251,0.24193548387096775,0.1638,378.443,6.104,,,,,
14,2.1559,2.9688258171081543,7.333333333333333e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.332820177078247,0.3225806451612903,0.1646,376.685,6.076,,,,,
16,2.0045,3.957967758178711,7e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,2.2796967029571533,0.4032258064516129,0.1645,376.892,6.079,,,,,
18,1.8344,3.2973082065582275,6.666666666666667e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,2.273634195327759,0.3387096774193548,0.1634,379.403,6.119,,,,,
20,1.6377,3.0507497787475586,6.333333333333333e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,2.203507900238037,0.3548387096774194,0.1652,375.231,6.052,,,,,
22,1.5075,4.0660881996154785,6e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,2.1761369705200195,0.3225806451612903,0.1654,374.943,6.047,,,,,
24,1.3785,4.568469047546387,5.666666666666667e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,2.1414456367492676,0.3548387096774194,0.1652,375.238,6.052,,,,,
26,1.2426,3.246098041534424,5.333333333333333e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,2.081411361694336,0.3548387096774194,0.1652,375.225,6.052,,,,,
28,1.1438,3.211963176727295,5e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,2.036695957183838,0.3870967741935484,0.1652,375.228,6.052,,,,,
30,1.0368,2.8903274536132812,4.666666666666667e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,2.00768780708313,0.41935483870967744,0.1661,373.318,6.021,,,,,
32,0.9422,2.548868179321289,4.3333333333333334e-05,17.0,34,,,,,,,,,,
33,,,,17.0,34,2.01473331451416,0.4032258064516129,0.1669,371.503,5.992,,,,,
34,0.8673,2.9530012607574463,4e-05,18.0,36,,,,,,,,,,
35,,,,18.0,36,2.0143518447875977,0.3870967741935484,0.1658,373.998,6.032,,,,,
36,0.7871,2.357020854949951,3.6666666666666666e-05,19.0,38,,,,,,,,,,
37,,,,19.0,38,1.9672331809997559,0.41935483870967744,0.1653,375.17,6.051,,,,,
38,0.7319,2.4266200065612793,3.3333333333333335e-05,20.0,40,,,,,,,,,,
39,,,,20.0,40,1.978117823600769,0.3870967741935484,0.1644,377.143,6.083,,,,,
40,0.6671,2.4427945613861084,3e-05,21.0,42,,,,,,,,,,
41,,,,21.0,42,2.002401351928711,0.3709677419354839,0.1647,376.526,6.073,,,,,
42,0.6307,2.6284987926483154,2.6666666666666667e-05,22.0,44,,,,,,,,,,
43,,,,22.0,44,1.9541534185409546,0.4032258064516129,0.1649,376.041,6.065,,,,,
44,0.5991,2.145942449569702,2.3333333333333336e-05,23.0,46,,,,,,,,,,
45,,,,23.0,46,1.9397728443145752,0.43548387096774194,0.1638,378.529,6.105,,,,,
46,0.5728,2.0515739917755127,2e-05,24.0,48,,,,,,,,,,
47,,,,24.0,48,1.9615334272384644,0.41935483870967744,0.1642,377.685,6.092,,,,,
48,0.5453,1.943914771080017,1.6666666666666667e-05,25.0,50,,,,,,,,,,
49,,,,25.0,50,1.982455849647522,0.43548387096774194,0.1644,377.044,6.081,,,,,
50,0.5263,1.8017736673355103,1.3333333333333333e-05,26.0,52,,,,,,,,,,
51,,,,26.0,52,1.9822251796722412,0.43548387096774194,0.1657,374.231,6.036,,,,,
52,0.494,1.6082220077514648,1e-05,27.0,54,,,,,,,,,,
53,,,,27.0,54,1.979980707168579,0.41935483870967744,0.1661,373.355,6.022,,,,,
54,0.4814,1.7653064727783203,6.666666666666667e-06,28.0,56,,,,,,,,,,
55,,,,28.0,56,1.9819163084030151,0.41935483870967744,0.1643,377.259,6.085,,,,,
56,0.4755,1.7037755250930786,3.3333333333333333e-06,29.0,58,,,,,,,,,,
57,,,,29.0,58,1.9846497774124146,0.41935483870967744,0.1658,374.016,6.033,,,,,
58,0.4731,1.6563812494277954,0.0,30.0,60,,,,,,,,,,
59,,,,30.0,60,1.9858685731887817,0.41935483870967744,0.1666,372.209,6.003,,,,,
60,,,,30.0,60,,,,,,55.9579,132.957,1.072,1957845044183040.0,1.3755255818367005
