,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.8819,2.978764772415161,9.75e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.7041726112365723,0.06451612903225806,0.1651,375.581,6.058,,,,,
2,2.5854,2.6608078479766846,9.5e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.598040819168091,0.20967741935483872,0.164,378.051,6.098,,,,,
4,2.2987,2.734569549560547,9.250000000000001e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.499708414077759,0.27419354838709675,0.1637,378.696,6.108,,,,,
6,1.9192,2.8970727920532227,9e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.450000524520874,0.24193548387096775,0.1636,379.021,6.113,,,,,
8,1.5179,3.0507569313049316,8.75e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.403043746948242,0.25806451612903225,0.1637,378.788,6.109,,,,,
10,1.1577,3.7102341651916504,8.5e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.409611463546753,0.24193548387096775,0.1642,377.504,6.089,,,,,
12,0.8749,2.403944492340088,8.25e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.404046058654785,0.20967741935483872,0.165,375.761,6.061,,,,,
14,0.6396,2.5121514797210693,8e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.497232675552368,0.22580645161290322,0.1642,377.486,6.088,,,,,
16,0.4862,2.0897130966186523,7.75e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,2.57948637008667,0.20967741935483872,0.1647,376.54,6.073,,,,,
18,0.3786,1.7951462268829346,7.500000000000001e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,2.7225663661956787,0.24193548387096775,0.1648,376.207,6.068,,,,,
20,0.2868,1.262741208076477,7.25e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,2.7538793087005615,0.20967741935483872,0.1646,376.772,6.077,,,,,
22,0.2346,1.5543016195297241,7e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,2.863687753677368,0.22580645161290322,0.1652,375.341,6.054,,,,,
24,0.2025,1.53899347782135,6.750000000000001e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,2.9735825061798096,0.24193548387096775,0.1642,377.515,6.089,,,,,
26,0.1839,1.5428792238235474,6.500000000000001e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,2.880383253097534,0.25806451612903225,0.1654,374.823,6.046,,,,,
28,0.1652,1.4116125106811523,6.25e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,2.8191492557525635,0.22580645161290322,0.1642,377.56,6.09,,,,,
30,0.1549,1.3809064626693726,6e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,2.8948073387145996,0.2903225806451613,0.1655,374.67,6.043,,,,,
32,0.1437,0.9449850916862488,5.7499999999999995e-05,17.0,34,,,,,,,,,,
33,,,,17.0,34,2.987642526626587,0.22580645161290322,0.1647,376.343,6.07,,,,,
34,0.1455,1.2346515655517578,5.500000000000001e-05,18.0,36,,,,,,,,,,
35,,,,18.0,36,3.0144288539886475,0.22580645161290322,0.1656,374.499,6.04,,,,,
36,0.1336,1.0050467252731323,5.25e-05,19.0,38,,,,,,,,,,
37,,,,19.0,38,2.961007833480835,0.24193548387096775,0.1656,374.447,6.039,,,,,
38,0.1327,1.5362807512283325,5e-05,20.0,40,,,,,,,,,,
39,,,,20.0,40,2.945232629776001,0.25806451612903225,0.1656,374.312,6.037,,,,,
40,0.1325,1.3153897523880005,4.75e-05,21.0,42,,,,,,,,,,
