loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1836,3.016643762588501,9.5e-05,1.0,2,,,,,,,,,,
,,,1.0,2,1.539259910583496,0.7096774193548387,0.1708,362.921,5.854,,,,,
0.1819,3.0607237815856934,9e-05,2.0,4,,,,,,,,,,
,,,2.0,4,1.9533283710479736,0.6129032258064516,0.1709,362.831,5.852,,,,,
0.1526,1.5747624635696411,8.5e-05,3.0,6,,,,,,,,,,
,,,3.0,6,1.6900455951690674,0.6290322580645161,0.1702,364.384,5.877,,,,,
0.1385,1.8360553979873657,8e-05,4.0,8,,,,,,,,,,
,,,4.0,8,1.6369608640670776,0.6612903225806451,0.1708,363.003,5.855,,,,,
0.1126,1.538948655128479,7.500000000000001e-05,5.0,10,,,,,,,,,,
,,,5.0,10,1.7404478788375854,0.6451612903225806,0.1704,363.841,5.868,,,,,
0.0908,1.2929233312606812,7e-05,6.0,12,,,,,,,,,,
,,,6.0,12,1.789306402206421,0.6774193548387096,0.1708,362.985,5.855,,,,,
0.0956,1.6130331754684448,6.500000000000001e-05,7.0,14,,,,,,,,,,
,,,7.0,14,1.778198003768921,0.6612903225806451,0.1706,363.526,5.863,,,,,
0.1012,1.4510201215744019,6e-05,8.0,16,,,,,,,,,,
,,,8.0,16,1.7952603101730347,0.6612903225806451,0.1717,361.091,5.824,,,,,
0.0953,1.9715183973312378,5.500000000000001e-05,9.0,18,,,,,,,,,,
,,,9.0,18,1.8284128904342651,0.6290322580645161,0.1713,361.994,5.839,,,,,
0.0957,2.401822805404663,5e-05,10.0,20,,,,,,,,,,
,,,10.0,20,1.8102467060089111,0.6612903225806451,0.1716,361.222,5.826,,,,,
0.0908,1.4431153535842896,4.5e-05,11.0,22,,,,,,,,,,
,,,11.0,22,1.830902099609375,0.6774193548387096,0.1703,364.135,5.873,,,,,
0.0992,1.9931246042251587,4e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.8559186458587646,0.6612903225806451,0.1716,361.348,5.828,,,,,
0.091,1.6153805255889893,3.5e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.852400302886963,0.6612903225806451,0.2932,211.455,3.411,,,,,
0.0893,2.4999289512634277,3e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.8552874326705933,0.6612903225806451,0.1719,360.725,5.818,,,,,
0.0972,2.106072187423706,2.5e-05,15.0,30,,,,,,,,,,
,,,15.0,30,1.8682836294174194,0.6612903225806451,0.172,360.387,5.813,,,,,
0.0823,1.442842721939087,2e-05,16.0,32,,,,,,,,,,
,,,16.0,32,1.8770322799682617,0.6612903225806451,0.1713,361.991,5.839,,,,,
0.0898,1.8529523611068726,1.5e-05,17.0,34,,,,,,,,,,
,,,17.0,34,1.8853752613067627,0.6612903225806451,0.1711,362.384,5.845,,,,,
0.086,1.3665822744369507,1e-05,18.0,36,,,,,,,,,,
,,,18.0,36,1.8851728439331055,0.6612903225806451,0.1707,363.203,5.858,,,,,
0.091,1.413558840751648,5e-06,19.0,38,,,,,,,,,,
,,,19.0,38,1.8897866010665894,0.6612903225806451,0.1711,362.364,5.845,,,,,
0.0869,1.4352190494537354,0.0,20.0,40,,,,,,,,,,
,,,20.0,40,1.8898899555206299,0.6612903225806451,0.1732,358.061,5.775,,,,,
,,,20.0,40,,,,,,43.1401,114.974,0.927,1305230029455360.0,0.10757160596549512
