loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9768,6.525481224060059,9.857142857142858e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.881131887435913,0.08333333333333333,0.46,130.433,2.174,,,,,
3.072,18.78116226196289,9.714285714285715e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.7480835914611816,0.1,0.4604,130.319,2.172,,,,,
2.7707,3.006028413772583,9.571428571428573e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.6654844284057617,0.18333333333333332,0.4591,130.697,2.178,,,,,
2.7257,2.689985513687134,9.428571428571429e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.6642394065856934,0.11666666666666667,0.4609,130.179,2.17,,,,,
2.7142,7.432516574859619,9.285714285714286e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.6456758975982666,0.18333333333333332,0.4594,130.594,2.177,,,,,
2.7154,3.4550108909606934,9.142857142857143e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.6211602687835693,0.18333333333333332,0.4602,130.387,2.173,,,,,
2.6619,2.8548946380615234,9e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.5315191745758057,0.18333333333333332,0.4602,130.371,2.173,,,,,
2.5505,4.790457248687744,8.857142857142857e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.369441270828247,0.26666666666666666,0.4612,130.104,2.168,,,,,
2.3826,6.574904441833496,8.714285714285715e-05,9.0,18,,,,,,,,,,
,,,9.0,18,2.113882541656494,0.38333333333333336,0.4617,129.957,2.166,,,,,
2.2321,38.1759147644043,8.571428571428571e-05,10.0,20,,,,,,,,,,
,,,10.0,20,2.0041277408599854,0.4,0.4614,130.031,2.167,,,,,
1.9309,16.62468719482422,8.428571428571429e-05,11.0,22,,,,,,,,,,
,,,11.0,22,2.0520808696746826,0.36666666666666664,0.4595,130.565,2.176,,,,,
1.7503,8.521829605102539,8.285714285714287e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.646020770072937,0.5166666666666667,0.4609,130.187,2.17,,,,,
1.4769,10.513636589050293,8.142857142857143e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.5415294170379639,0.5666666666666667,0.4605,130.287,2.171,,,,,
1.2969,8.669989585876465,8e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.3637336492538452,0.65,0.4613,130.054,2.168,,,,,
1.1065,12.154789924621582,7.857142857142858e-05,15.0,30,,,,,,,,,,
,,,15.0,30,1.3061515092849731,0.6333333333333333,0.4606,130.252,2.171,,,,,
0.9249,8.33745002746582,7.714285714285715e-05,16.0,32,,,,,,,,,,
,,,16.0,32,1.2794193029403687,0.6333333333333333,0.5797,103.496,1.725,,,,,
0.7749,5.733262062072754,7.571428571428571e-05,17.0,34,,,,,,,,,,
,,,17.0,34,1.232232928276062,0.6166666666666667,0.462,129.878,2.165,,,,,
0.6662,6.955971717834473,7.428571428571429e-05,18.0,36,,,,,,,,,,
,,,18.0,36,1.1996110677719116,0.65,0.461,130.148,2.169,,,,,
0.561,7.14600133895874,7.285714285714286e-05,19.0,38,,,,,,,,,,
,,,19.0,38,1.1579259634017944,0.6666666666666666,0.4608,130.214,2.17,,,,,
0.4797,7.465632438659668,7.142857142857143e-05,20.0,40,,,,,,,,,,
,,,20.0,40,1.1210654973983765,0.7,0.4608,130.207,2.17,,,,,
0.3817,5.988979339599609,7e-05,21.0,42,,,,,,,,,,
