loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
17.2648,105.9295883178711,0.00095,1.0,62,,,,,,,,,,
,,,1.0,62,9.204556465148926,0.016129032258064516,5.9583,10.406,2.685,,,,,
6.2832,104.63954162597656,0.0009000000000000001,2.0,124,,,,,,,,,,
,,,2.0,124,6.312784671783447,0.12903225806451613,5.8373,10.621,2.741,,,,,
5.642,84.94103240966797,0.00085,3.0,186,,,,,,,,,,
,,,3.0,186,4.444366931915283,0.03225806451612903,5.837,10.622,2.741,,,,,
4.66,40.05985641479492,0.0008,4.0,248,,,,,,,,,,
,,,4.0,248,3.233321189880371,0.06451612903225806,5.8286,10.637,2.745,,,,,
3.7756,36.73562240600586,0.00075,5.0,310,,,,,,,,,,
,,,5.0,310,3.739602565765381,0.06451612903225806,5.8391,10.618,2.74,,,,,
3.2743,18.226253509521484,0.0007,6.0,372,,,,,,,,,,
,,,6.0,372,3.066664695739746,0.04838709677419355,5.8258,10.642,2.746,,,,,
3.0082,16.789674758911133,0.0006500000000000001,7.0,434,,,,,,,,,,
,,,7.0,434,3.1569430828094482,0.1774193548387097,5.8232,10.647,2.748,,,,,
2.9084,15.113741874694824,0.0006,8.0,496,,,,,,,,,,
,,,8.0,496,2.980086088180542,0.11290322580645161,5.8376,10.621,2.741,,,,,
2.8002,11.426538467407227,0.00055,9.0,558,,,,,,,,,,
,,,9.0,558,3.0771067142486572,0.08064516129032258,5.8352,10.625,2.742,,,,,
2.6537,9.942085266113281,0.0005,10.0,620,,,,,,,,,,
,,,10.0,620,2.826939105987549,0.12903225806451613,5.8367,10.622,2.741,,,,,
2.5112,6.44389533996582,0.00045000000000000004,11.0,682,,,,,,,,,,
,,,11.0,682,2.9225897789001465,0.16129032258064516,5.8367,10.622,2.741,,,,,
6.7454,69.4035873413086,0.0004,12.0,744,,,,,,,,,,
,,,12.0,744,5.606247901916504,0.1774193548387097,5.8328,10.63,2.743,,,,,
3.5488,29.451066970825195,0.00035,13.0,806,,,,,,,,,,
,,,13.0,806,4.012942790985107,0.16129032258064516,5.8345,10.626,2.742,,,,,
2.8416,48.298072814941406,0.0003,14.0,868,,,,,,,,,,
,,,14.0,868,4.090765476226807,0.12903225806451613,5.8371,10.622,2.741,,,,,
2.5257,29.171350479125977,0.00025,15.0,930,,,,,,,,,,
,,,15.0,930,3.5094728469848633,0.1774193548387097,5.8348,10.626,2.742,,,,,
2.2045,44.03129196166992,0.0002,16.0,992,,,,,,,,,,
,,,16.0,992,3.645124912261963,0.1774193548387097,5.8382,10.62,2.741,,,,,
2.0362,28.585399627685547,0.00015,17.0,1054,,,,,,,,,,
,,,17.0,1054,3.666745185852051,0.20967741935483872,5.8309,10.633,2.744,,,,,
1.767,31.01359748840332,0.0001,18.0,1116,,,,,,,,,,
,,,18.0,1116,4.131890296936035,0.1935483870967742,5.8295,10.636,2.745,,,,,
1.5604,22.26788330078125,5e-05,19.0,1178,,,,,,,,,,
,,,19.0,1178,4.22422456741333,0.22580645161290322,5.8355,10.625,2.742,,,,,
1.3042,34.86993408203125,0.0,20.0,1240,,,,,,,,,,
,,,20.0,1240,4.7911152839660645,0.1935483870967742,5.8411,10.614,2.739,,,,,
,,,20.0,1240,,,,,,1269.0642,3.908,0.977,1.996626176507904e+16,3.965768555671938
