loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.0652,4.322543144226074,9.8e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.9022791385650635,0.07575757575757576,0.1778,371.278,5.625,,,,,
2.8712,3.160386085510254,9.6e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.7485387325286865,0.16666666666666666,0.1771,372.686,5.647,,,,,
2.7729,9.285881996154785,9.4e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.690105438232422,0.16666666666666666,0.1783,370.23,5.61,,,,,
2.6306,3.2229349613189697,9.200000000000001e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.5685083866119385,0.21212121212121213,0.1772,372.425,5.643,,,,,
2.4993,5.257782459259033,9e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.436504602432251,0.2727272727272727,0.1775,371.9,5.635,,,,,
2.2924,6.082476615905762,8.800000000000001e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.223909616470337,0.36363636363636365,0.1774,372.097,5.638,,,,,
2.1055,6.537585735321045,8.6e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.0760092735290527,0.42424242424242425,0.1766,373.784,5.663,,,,,
1.9179,5.668978214263916,8.4e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.023527145385742,0.5606060606060606,0.1759,375.243,5.685,,,,,
1.7251,4.960545539855957,8.2e-05,9.0,18,,,,,,,,,,
,,,9.0,18,1.8554127216339111,0.5151515151515151,0.1753,376.519,5.705,,,,,
1.5739,4.502187728881836,8e-05,10.0,20,,,,,,,,,,
,,,10.0,20,1.7965710163116455,0.5606060606060606,0.1775,371.827,5.634,,,,,
1.3688,3.1555678844451904,7.800000000000001e-05,11.0,22,,,,,,,,,,
,,,11.0,22,1.6498574018478394,0.6060606060606061,0.1755,376.022,5.697,,,,,
1.2065,3.038644552230835,7.6e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.627950668334961,0.5757575757575758,0.1847,357.42,5.415,,,,,
1.0897,3.8080363273620605,7.4e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.5292775630950928,0.6363636363636364,0.2997,220.244,3.337,,,,,
0.9771,4.811759948730469,7.2e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.4589802026748657,0.6212121212121212,0.1758,375.349,5.687,,,,,
0.8667,2.7332968711853027,7e-05,15.0,30,,,,,,,,,,
,,,15.0,30,1.415846347808838,0.6363636363636364,0.1764,374.099,5.668,,,,,
0.7668,2.982095956802368,6.800000000000001e-05,16.0,32,,,,,,,,,,
,,,16.0,32,1.3951815366744995,0.6666666666666666,0.1758,375.341,5.687,,,,,
0.6837,2.223666191101074,6.6e-05,17.0,34,,,,,,,,,,
,,,17.0,34,1.3819915056228638,0.6515151515151515,0.176,375.09,5.683,,,,,
0.6137,2.1518869400024414,6.400000000000001e-05,18.0,36,,,,,,,,,,
,,,18.0,36,1.3374911546707153,0.6515151515151515,0.1774,372.12,5.638,,,,,
0.5531,2.4127750396728516,6.2e-05,19.0,38,,,,,,,,,,
,,,19.0,38,1.2897090911865234,0.6666666666666666,0.1771,372.643,5.646,,,,,
0.4931,2.058043956756592,6e-05,20.0,40,,,,,,,,,,
,,,20.0,40,1.3370600938796997,0.6363636363636364,0.1784,369.951,5.605,,,,,
0.4573,2.081272602081299,5.8e-05,21.0,42,,,,,,,,,,
,,,21.0,42,1.3451781272888184,0.6212121212121212,0.1773,372.211,5.64,,,,,
0.4251,2.515136957168579,5.6000000000000006e-05,22.0,44,,,,,,,,,,
,,,22.0,44,1.3467882871627808,0.6515151515151515,0.1786,369.462,5.598,,,,,
0.3905,2.0353384017944336,5.4000000000000005e-05,23.0,46,,,,,,,,,,
,,,23.0,46,1.331808090209961,0.6666666666666666,0.1782,370.447,5.613,,,,,
0.3481,1.7077174186706543,5.2000000000000004e-05,24.0,48,,,,,,,,,,
,,,24.0,48,1.3084981441497803,0.696969696969697,0.1768,373.385,5.657,,,,,
0.3377,1.8894225358963013,5e-05,25.0,50,,,,,,,,,,
,,,25.0,50,1.3166983127593994,0.6818181818181818,0.1754,376.312,5.702,,,,,
0.2985,1.5852817296981812,4.8e-05,26.0,52,,,,,,,,,,
,,,26.0,52,1.324112892150879,0.696969696969697,0.3059,215.78,3.269,,,,,
0.2781,1.523193359375,4.600000000000001e-05,27.0,54,,,,,,,,,,
,,,27.0,54,1.337512731552124,0.6666666666666666,0.1751,376.948,5.711,,,,,
0.2601,1.592028021812439,4.4000000000000006e-05,28.0,56,,,,,,,,,,
,,,28.0,56,1.3451213836669922,0.6666666666666666,0.1759,375.192,5.685,,,,,
0.2666,1.855379581451416,4.2e-05,29.0,58,,,,,,,,,,
,,,29.0,58,1.3168505430221558,0.6818181818181818,0.1748,377.68,5.722,,,,,
0.243,1.7895469665527344,4e-05,30.0,60,,,,,,,,,,
,,,30.0,60,1.3012440204620361,0.6818181818181818,0.1755,375.976,5.697,,,,,
0.24,2.079078435897827,3.8e-05,31.0,62,,,,,,,,,,
,,,31.0,62,1.3166494369506836,0.6818181818181818,0.1763,374.321,5.672,,,,,
0.2205,1.3895374536514282,3.6e-05,32.0,64,,,,,,,,,,
,,,32.0,64,1.3300578594207764,0.6666666666666666,0.176,374.944,5.681,,,,,
0.2154,1.7115834951400757,3.4000000000000007e-05,33.0,66,,,,,,,,,,
,,,33.0,66,1.3422083854675293,0.6666666666666666,0.1762,374.527,5.675,,,,,
0.1921,1.3098790645599365,3.2000000000000005e-05,34.0,68,,,,,,,,,,
,,,34.0,68,1.3540180921554565,0.6818181818181818,0.1757,375.58,5.691,,,,,
0.1943,1.234797477722168,3e-05,35.0,70,,,,,,,,,,
,,,35.0,70,1.3441826105117798,0.696969696969697,0.1803,366.146,5.548,,,,,
0.1904,1.3783478736877441,2.8000000000000003e-05,36.0,72,,,,,,,,,,
,,,36.0,72,1.368997573852539,0.6666666666666666,0.1775,371.86,5.634,,,,,
0.1845,1.3448917865753174,2.6000000000000002e-05,37.0,74,,,,,,,,,,
,,,37.0,74,1.4012342691421509,0.6666666666666666,0.1771,372.637,5.646,,,,,
0.1792,1.3379329442977905,2.4e-05,38.0,76,,,,,,,,,,
,,,38.0,76,1.405295491218567,0.6515151515151515,0.1778,371.225,5.625,,,,,
0.1618,0.9198249578475952,2.2000000000000003e-05,39.0,78,,,,,,,,,,
,,,39.0,78,1.4001160860061646,0.6363636363636364,0.2995,220.39,3.339,,,,,
0.1636,1.0801814794540405,2e-05,40.0,80,,,,,,,,,,
,,,40.0,80,1.4020429849624634,0.6363636363636364,0.1824,361.904,5.483,,,,,
0.1653,1.3563947677612305,1.8e-05,41.0,82,,,,,,,,,,
,,,41.0,82,1.4081130027770996,0.6515151515151515,0.1788,369.024,5.591,,,,,
0.1627,1.2987546920776367,1.6000000000000003e-05,42.0,84,,,,,,,,,,
,,,42.0,84,1.4020265340805054,0.6818181818181818,0.178,370.714,5.617,,,,,
0.1621,1.4325790405273438,1.4000000000000001e-05,43.0,86,,,,,,,,,,
,,,43.0,86,1.392778754234314,0.696969696969697,0.1777,371.435,5.628,,,,,
0.1588,1.1132091283798218,1.2e-05,44.0,88,,,,,,,,,,
,,,44.0,88,1.3990068435668945,0.6818181818181818,0.1778,371.244,5.625,,,,,
0.154,1.1998286247253418,1e-05,45.0,90,,,,,,,,,,
,,,45.0,90,1.3980484008789062,0.6666666666666666,0.1768,373.396,5.658,,,,,
0.1475,1.3608812093734741,8.000000000000001e-06,46.0,92,,,,,,,,,,
,,,46.0,92,1.3969767093658447,0.6515151515151515,0.1781,370.663,5.616,,,,,
0.1561,1.156916856765747,6e-06,47.0,94,,,,,,,,,,
,,,47.0,94,1.3940513134002686,0.6363636363636364,0.1787,369.275,5.595,,,,,
0.1489,0.9228602051734924,4.000000000000001e-06,48.0,96,,,,,,,,,,
,,,48.0,96,1.393691897392273,0.6515151515151515,0.184,358.75,5.436,,,,,
0.1448,1.1525148153305054,2.0000000000000003e-06,49.0,98,,,,,,,,,,
,,,49.0,98,1.3936538696289062,0.6515151515151515,0.1781,370.641,5.616,,,,,
0.1491,0.958126962184906,0.0,50.0,100,,,,,,,,,,
,,,50.0,100,1.393934965133667,0.6515151515151515,0.1802,366.307,5.55,,,,,
,,,50.0,100,,,,,,85.9498,142.525,1.163,3223602391296000.0,0.7773869767785072
