loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.0034,6.1083807945251465,9.8e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.8792431354522705,0.1746031746031746,0.436,144.509,2.294,,,,,
2.865,3.892015218734741,9.6e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.9140231609344482,0.047619047619047616,0.4383,143.751,2.282,,,,,
2.9275,7.83779764175415,9.4e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.705949306488037,0.1746031746031746,0.4381,143.814,2.283,,,,,
2.8115,8.81800651550293,9.200000000000001e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.7203845977783203,0.1746031746031746,0.4384,143.698,2.281,,,,,
2.7802,88.4004898071289,9e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.6613006591796875,0.1746031746031746,0.4383,143.738,2.282,,,,,
2.7909,7.904677391052246,8.800000000000001e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.6693313121795654,0.1746031746031746,0.4391,143.48,2.277,,,,,
2.7243,61.46156311035156,8.6e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.6402738094329834,0.1746031746031746,0.4374,144.038,2.286,,,,,
2.6759,5.704545497894287,8.4e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.6377577781677246,0.1746031746031746,0.4376,143.976,2.285,,,,,
2.6698,7.871837139129639,8.2e-05,9.0,18,,,,,,,,,,
,,,9.0,18,2.613325595855713,0.1746031746031746,0.4389,143.552,2.279,,,,,
2.6399,3.108006715774536,8e-05,10.0,20,,,,,,,,,,
,,,10.0,20,2.615483522415161,0.19047619047619047,0.44,143.18,2.273,,,,,
2.5545,192.72903442382812,7.800000000000001e-05,11.0,22,,,,,,,,,,
,,,11.0,22,2.5679755210876465,0.20634920634920634,0.4378,143.909,2.284,,,,,
2.5119,10.681142807006836,7.6e-05,12.0,24,,,,,,,,,,
,,,12.0,24,2.617753028869629,0.2222222222222222,0.4387,143.596,2.279,,,,,
2.502,9.780099868774414,7.4e-05,13.0,26,,,,,,,,,,
,,,13.0,26,2.565751791000366,0.20634920634920634,0.4393,143.415,2.276,,,,,
2.4469,75.7746353149414,7.2e-05,14.0,28,,,,,,,,,,
,,,14.0,28,2.554049015045166,0.20634920634920634,0.4388,143.575,2.279,,,,,
2.392,5.979125022888184,7e-05,15.0,30,,,,,,,,,,
,,,15.0,30,2.5238542556762695,0.2222222222222222,0.4397,143.285,2.274,,,,,
2.2971,29.740480422973633,6.800000000000001e-05,16.0,32,,,,,,,,,,
,,,16.0,32,2.510404586791992,0.23809523809523808,0.4407,142.958,2.269,,,,,
2.2179,31.24542808532715,6.6e-05,17.0,34,,,,,,,,,,
,,,17.0,34,2.4468517303466797,0.23809523809523808,0.4415,142.692,2.265,,,,,
2.1268,33.254234313964844,6.400000000000001e-05,18.0,36,,,,,,,,,,
,,,18.0,36,2.519641399383545,0.20634920634920634,0.4396,143.298,2.275,,,,,
2.1329,16.084360122680664,6.2e-05,19.0,38,,,,,,,,,,
,,,19.0,38,2.3975203037261963,0.23809523809523808,0.5446,115.685,1.836,,,,,
1.9506,56.64346694946289,6e-05,20.0,40,,,,,,,,,,
,,,20.0,40,2.4450955390930176,0.30158730158730157,0.4401,143.164,2.272,,,,,
1.9242,13.541070938110352,5.8e-05,21.0,42,,,,,,,,,,
