loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.357,2.7763867378234863,9.5e-05,1.0,4,,,,,,,,,,
,,,1.0,4,1.4292385578155518,0.6774193548387096,0.5312,116.709,1.882,,,,,
0.308,2.5866081714630127,9e-05,2.0,8,,,,,,,,,,
,,,2.0,8,1.3897415399551392,0.6612903225806451,0.5357,115.729,1.867,,,,,
0.2866,2.1865928173065186,8.5e-05,3.0,12,,,,,,,,,,
,,,3.0,12,1.426440715789795,0.6612903225806451,0.5389,115.041,1.856,,,,,
0.2765,2.047481060028076,8e-05,4.0,16,,,,,,,,,,
,,,4.0,16,1.462448239326477,0.6774193548387096,0.5399,114.845,1.852,,,,,
0.2564,2.3699824810028076,7.500000000000001e-05,5.0,20,,,,,,,,,,
,,,5.0,20,1.4562171697616577,0.6774193548387096,0.6743,91.948,1.483,,,,,
0.2418,1.6790863275527954,7e-05,6.0,24,,,,,,,,,,
,,,6.0,24,1.4883557558059692,0.6774193548387096,0.5432,114.143,1.841,,,,,
0.2451,2.4871721267700195,6.500000000000001e-05,7.0,28,,,,,,,,,,
,,,7.0,28,1.5242174863815308,0.6612903225806451,0.5388,115.071,1.856,,,,,
0.1987,1.6969316005706787,6e-05,8.0,32,,,,,,,,,,
,,,8.0,32,1.541374921798706,0.6774193548387096,0.535,115.89,1.869,,,,,
0.2226,2.354367971420288,5.500000000000001e-05,9.0,36,,,,,,,,,,
,,,9.0,36,1.5609729290008545,0.6612903225806451,0.5385,115.135,1.857,,,,,
0.2008,1.4380567073822021,5e-05,10.0,40,,,,,,,,,,
,,,10.0,40,1.5694679021835327,0.6612903225806451,0.6649,93.245,1.504,,,,,
0.1794,1.6703540086746216,4.5e-05,11.0,44,,,,,,,,,,
,,,11.0,44,1.584587812423706,0.6774193548387096,0.5439,113.989,1.839,,,,,
0.188,1.852765679359436,4e-05,12.0,48,,,,,,,,,,
,,,12.0,48,1.613782286643982,0.6774193548387096,0.5387,115.089,1.856,,,,,
0.1927,2.6210334300994873,3.5e-05,13.0,52,,,,,,,,,,
,,,13.0,52,1.628463625907898,0.6774193548387096,0.54,114.825,1.852,,,,,
0.1619,1.7405880689620972,3e-05,14.0,56,,,,,,,,,,
,,,14.0,56,1.632647156715393,0.6774193548387096,0.5447,113.815,1.836,,,,,
0.1722,1.6804550886154175,2.5e-05,15.0,60,,,,,,,,,,
,,,15.0,60,1.6278866529464722,0.6774193548387096,0.5397,114.87,1.853,,,,,
0.1623,1.3793624639511108,2e-05,16.0,64,,,,,,,,,,
,,,16.0,64,1.621873378753662,0.6774193548387096,0.5406,114.678,1.85,,,,,
0.1712,1.702199935913086,1.5e-05,17.0,68,,,,,,,,,,
,,,17.0,68,1.622887372970581,0.6774193548387096,0.5387,115.093,1.856,,,,,
0.1417,0.9315314888954163,1e-05,18.0,72,,,,,,,,,,
,,,18.0,72,1.6216906309127808,0.6774193548387096,0.5409,114.622,1.849,,,,,
0.1432,1.8287527561187744,5e-06,19.0,76,,,,,,,,,,
,,,19.0,76,1.6252840757369995,0.6774193548387096,0.541,114.599,1.848,,,,,
0.1454,1.6605939865112305,0.0,20.0,80,,,,,,,,,,
,,,20.0,80,1.625718593597412,0.6774193548387096,0.5515,112.425,1.813,,,,,
,,,20.0,80,,,,,,125.7705,39.437,0.636,3029652687912960.0,0.21256626397371292
