loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9474,2.2254936695098877,9.857142857142858e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.932384729385376,0.016129032258064516,0.5373,115.388,1.861,,,,,
2.8231,1.816464900970459,9.714285714285715e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.873783826828003,0.03225806451612903,0.5364,115.589,1.864,,,,,
2.6972,2.191645383834839,9.571428571428573e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.82302188873291,0.14516129032258066,0.5396,114.898,1.853,,,,,
2.5733,2.1602232456207275,9.428571428571429e-05,4.0,8,,,,,,,,,,
,,,4.0,8,2.7792654037475586,0.1774193548387097,0.5391,115.013,1.855,,,,,
2.507,2.6432559490203857,9.285714285714286e-05,5.0,10,,,,,,,,,,
,,,5.0,10,2.749354124069214,0.1774193548387097,0.5379,115.261,1.859,,,,,
2.3623,2.754044532775879,9.142857142857143e-05,6.0,12,,,,,,,,,,
,,,6.0,12,2.729120969772339,0.1774193548387097,0.5398,114.855,1.852,,,,,
2.2872,2.466891288757324,9e-05,7.0,14,,,,,,,,,,
,,,7.0,14,2.7135491371154785,0.16129032258064516,0.5414,114.514,1.847,,,,,
2.1632,2.7775728702545166,8.857142857142857e-05,8.0,16,,,,,,,,,,
,,,8.0,16,2.698864221572876,0.16129032258064516,0.5397,114.879,1.853,,,,,
2.0459,2.790513753890991,8.714285714285715e-05,9.0,18,,,,,,,,,,
,,,9.0,18,2.684525966644287,0.14516129032258066,0.537,115.45,1.862,,,,,
1.9376,2.5768942832946777,8.571428571428571e-05,10.0,20,,,,,,,,,,
,,,10.0,20,2.678661584854126,0.14516129032258066,0.5384,115.163,1.857,,,,,
1.8526,2.5835087299346924,8.428571428571429e-05,11.0,22,,,,,,,,,,
,,,11.0,22,2.6805882453918457,0.12903225806451613,0.5395,114.918,1.854,,,,,
1.7751,2.8523683547973633,8.285714285714287e-05,12.0,24,,,,,,,,,,
,,,12.0,24,2.6816446781158447,0.11290322580645161,0.5366,115.543,1.864,,,,,
1.6913,2.373460054397583,8.142857142857143e-05,13.0,26,,,,,,,,,,
,,,13.0,26,2.683497190475464,0.11290322580645161,0.5392,114.976,1.854,,,,,
1.5936,2.601339817047119,8e-05,14.0,28,,,,,,,,,,
,,,14.0,28,2.6856441497802734,0.08064516129032258,0.5405,114.714,1.85,,,,,
1.5506,2.541888952255249,7.857142857142858e-05,15.0,30,,,,,,,,,,
,,,15.0,30,2.687922239303589,0.08064516129032258,0.5387,115.102,1.856,,,,,
1.473,2.7920727729797363,7.714285714285715e-05,16.0,32,,,,,,,,,,
,,,16.0,32,2.689976930618286,0.0967741935483871,0.5395,114.917,1.854,,,,,
1.3845,2.5461323261260986,7.571428571428571e-05,17.0,34,,,,,,,,,,
,,,17.0,34,2.6933095455169678,0.0967741935483871,0.5418,114.434,1.846,,,,,
1.3262,2.7856380939483643,7.428571428571429e-05,18.0,36,,,,,,,,,,
,,,18.0,36,2.6984269618988037,0.0967741935483871,0.5418,114.435,1.846,,,,,
1.2447,2.6550345420837402,7.285714285714286e-05,19.0,38,,,,,,,,,,
,,,19.0,38,2.70481014251709,0.08064516129032258,0.5406,114.683,1.85,,,,,
1.1824,2.52729868888855,7.142857142857143e-05,20.0,40,,,,,,,,,,
,,,20.0,40,2.714581251144409,0.08064516129032258,0.5401,114.799,1.852,,,,,
1.1498,2.399242639541626,7e-05,21.0,42,,,,,,,,,,
,,,21.0,42,2.7241787910461426,0.08064516129032258,0.5422,114.339,1.844,,,,,
1.0803,2.3182852268218994,6.857142857142858e-05,22.0,44,,,,,,,,,,
,,,22.0,44,2.7319726943969727,0.08064516129032258,0.667,92.955,1.499,,,,,
1.0616,2.358337163925171,6.714285714285714e-05,23.0,46,,,,,,,,,,
,,,23.0,46,2.7376677989959717,0.0967741935483871,0.5421,114.379,1.845,,,,,
0.9656,2.2437498569488525,6.571428571428571e-05,24.0,48,,,,,,,,,,
,,,24.0,48,2.7412142753601074,0.0967741935483871,0.5395,114.913,1.853,,,,,
0.933,2.4331624507904053,6.428571428571429e-05,25.0,50,,,,,,,,,,
,,,25.0,50,2.742523431777954,0.0967741935483871,0.5423,114.329,1.844,,,,,
0.9231,2.336533546447754,6.285714285714286e-05,26.0,52,,,,,,,,,,
,,,26.0,52,2.7431116104125977,0.0967741935483871,0.5421,114.371,1.845,,,,,
0.8683,2.498366117477417,6.142857142857143e-05,27.0,54,,,,,,,,,,
,,,27.0,54,2.743001699447632,0.0967741935483871,0.5441,113.949,1.838,,,,,
0.8531,1.9059580564498901,6e-05,28.0,56,,,,,,,,,,
