,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.9004,1.8604702949523926,9.75e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.7621850967407227,0.1774193548387097,0.1697,365.262,5.891,,,,,
2,2.7623,2.02995228767395,9.5e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.6649110317230225,0.1774193548387097,0.1694,366.049,5.904,,,,,
4,2.66,2.1756412982940674,9.250000000000001e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.596834659576416,0.1774193548387097,0.1711,362.372,5.845,,,,,
6,2.5575,3.8430838584899902,9e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.5184054374694824,0.25806451612903225,0.1707,363.197,5.858,,,,,
8,2.3955,4.033567428588867,8.75e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.409681558609009,0.2903225806451613,0.1713,362.024,5.839,,,,,
10,2.1946,6.009047508239746,8.5e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.2973601818084717,0.2903225806451613,0.1706,363.464,5.862,,,,,
12,2.0096,9.926730155944824,8.25e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.176335334777832,0.3548387096774194,0.1709,362.854,5.852,,,,,
14,1.8252,10.868829727172852,8e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.0647079944610596,0.41935483870967744,0.172,360.523,5.815,,,,,
16,1.655,6.7835211753845215,7.75e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,2.0960309505462646,0.3709677419354839,0.1712,362.234,5.842,,,,,
18,1.4783,5.257811546325684,7.500000000000001e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,2.0000388622283936,0.43548387096774194,0.1704,363.759,5.867,,,,,
20,1.3207,5.164552211761475,7.25e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,2.0153565406799316,0.41935483870967744,0.1707,363.115,5.857,,,,,
22,1.1919,9.036664009094238,7e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,1.9773608446121216,0.41935483870967744,0.1707,363.109,5.857,,,,,
24,1.0194,7.672430515289307,6.750000000000001e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,2.00593638420105,0.3870967741935484,0.2946,210.432,3.394,,,,,
26,0.9207,5.466323375701904,6.500000000000001e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,2.0286924839019775,0.4032258064516129,0.1728,358.844,5.788,,,,,
28,0.7958,5.732273578643799,6.25e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,1.9610364437103271,0.4032258064516129,0.1697,365.276,5.892,,,,,
30,0.6993,5.467432975769043,6e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,1.9761614799499512,0.41935483870967744,0.1708,363.087,5.856,,,,,
32,0.5824,4.474660396575928,5.7499999999999995e-05,17.0,34,,,,,,,,,,
33,,,,17.0,34,2.003631591796875,0.4032258064516129,0.1716,361.257,5.827,,,,,
34,0.5045,3.7392282485961914,5.500000000000001e-05,18.0,36,,,,,,,,,,
35,,,,18.0,36,1.9808417558670044,0.45161290322580644,0.1712,362.188,5.842,,,,,
36,0.4404,4.5790581703186035,5.25e-05,19.0,38,,,,,,,,,,
37,,,,19.0,38,2.080122947692871,0.3709677419354839,0.1713,362.02,5.839,,,,,
38,0.4108,3.7908225059509277,5e-05,20.0,40,,,,,,,,,,
39,,,,20.0,40,2.08058500289917,0.3870967741935484,0.1706,363.35,5.86,,,,,
40,0.3444,2.349421501159668,4.75e-05,21.0,42,,,,,,,,,,
41,,,,21.0,42,1.9993606805801392,0.4032258064516129,0.1697,365.305,5.892,,,,,
42,0.3231,3.7657430171966553,4.5e-05,22.0,44,,,,,,,,,,
43,,,,22.0,44,2.0559895038604736,0.41935483870967744,0.171,362.481,5.846,,,,,
44,0.2857,3.516808271408081,4.25e-05,23.0,46,,,,,,,,,,
45,,,,23.0,46,2.222151279449463,0.4032258064516129,0.1718,360.89,5.821,,,,,
46,0.2578,2.0590219497680664,4e-05,24.0,48,,,,,,,,,,
47,,,,24.0,48,2.2511911392211914,0.3870967741935484,0.1703,364.057,5.872,,,,,
48,0.2353,2.5157761573791504,3.7500000000000003e-05,25.0,50,,,,,,,,,,
49,,,,25.0,50,2.280482530593872,0.3870967741935484,0.1706,363.346,5.86,,,,,
