loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
43.0956,59.73349380493164,0.0095,1.0,62,,,,,,,,,,
,,,1.0,62,24.018863677978516,0.016129032258064516,10.8939,5.691,1.469,,,,,
19.2379,59.509037017822266,0.009000000000000001,2.0,124,,,,,,,,,,
,,,2.0,124,11.18425178527832,0.12903225806451613,10.5509,5.876,1.516,,,,,
9.6736,14.601239204406738,0.0085,3.0,186,,,,,,,,,,
,,,3.0,186,6.650114059448242,0.08064516129032258,10.5555,5.874,1.516,,,,,
5.1729,7.48234224319458,0.008,4.0,248,,,,,,,,,,
,,,4.0,248,4.080490589141846,0.12903225806451613,10.5499,5.877,1.517,,,,,
3.9858,3.618988037109375,0.0075,5.0,310,,,,,,,,,,
,,,5.0,310,3.6779582500457764,0.1774193548387097,10.5565,5.873,1.516,,,,,
3.3936,2.0731353759765625,0.006999999999999999,6.0,372,,,,,,,,,,
,,,6.0,372,3.1015217304229736,0.0,10.5576,5.873,1.515,,,,,
2.9586,2.761054515838623,0.006500000000000001,7.0,434,,,,,,,,,,
,,,7.0,434,2.9710752964019775,0.1774193548387097,10.5625,5.87,1.515,,,,,
2.9374,1.8473899364471436,0.006,8.0,496,,,,,,,,,,
,,,8.0,496,2.8635458946228027,0.1774193548387097,10.5534,5.875,1.516,,,,,
2.8583,3.5811917781829834,0.0055000000000000005,9.0,558,,,,,,,,,,
,,,9.0,558,2.9673879146575928,0.06451612903225806,10.5599,5.871,1.515,,,,,
2.7548,2.5630810260772705,0.005,10.0,620,,,,,,,,,,
,,,10.0,620,2.7823221683502197,0.1935483870967742,10.5568,5.873,1.516,,,,,
2.7436,1.3298110961914062,0.0045000000000000005,11.0,682,,,,,,,,,,
,,,11.0,682,2.808279037475586,0.1774193548387097,10.563,5.87,1.515,,,,,
2.5823,1.11029052734375,0.004,12.0,744,,,,,,,,,,
,,,12.0,744,2.6593730449676514,0.1774193548387097,10.5564,5.873,1.516,,,,,
2.5549,0.9789416790008545,0.0034999999999999996,13.0,806,,,,,,,,,,
,,,13.0,806,2.670078754425049,0.16129032258064516,10.5628,5.87,1.515,,,,,
2.4372,1.0996272563934326,0.003,14.0,868,,,,,,,,,,
,,,14.0,868,2.6146671772003174,0.0967741935483871,10.5577,5.872,1.515,,,,,
2.4473,1.2337411642074585,0.0025,15.0,930,,,,,,,,,,
,,,15.0,930,2.918328046798706,0.16129032258064516,10.563,5.87,1.515,,,,,
2.3434,1.893029808998108,0.002,16.0,992,,,,,,,,,,
,,,16.0,992,2.6670496463775635,0.1935483870967742,10.5545,5.874,1.516,,,,,
2.2324,1.0921242237091064,0.0015,17.0,1054,,,,,,,,,,
,,,17.0,1054,2.781850576400757,0.1935483870967742,10.56,5.871,1.515,,,,,
2.1369,1.2495301961898804,0.001,18.0,1116,,,,,,,,,,
,,,18.0,1116,2.881457567214966,0.16129032258064516,10.5626,5.87,1.515,,,,,
2.0475,1.967531681060791,0.0005,19.0,1178,,,,,,,,,,
,,,19.0,1178,3.1538193225860596,0.1935483870967742,10.5627,5.87,1.515,,,,,
1.9756,1.4446529150009155,0.0,20.0,1240,,,,,,,,,,
,,,20.0,1240,3.075705051422119,0.1774193548387097,10.5477,5.878,1.517,,,,,
,,,20.0,1240,,,,,,24907.4664,0.199,0.05,5.522140585525248e+16,5.978485894972279
