loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
39.3384,62.575401306152344,0.009000000000000001,1.0,62,,,,,,,,,,
,,,1.0,62,16.2553653717041,0.1774193548387097,10.9117,5.682,1.466,,,,,
13.1425,52.15205764770508,0.008,2.0,124,,,,,,,,,,
,,,2.0,124,10.086357116699219,0.04838709677419355,10.5689,5.866,1.514,,,,,
7.8504,28.65091896057129,0.006999999999999999,3.0,186,,,,,,,,,,
,,,3.0,186,6.030091285705566,0.016129032258064516,10.5743,5.863,1.513,,,,,
5.1964,13.889409065246582,0.006,4.0,248,,,,,,,,,,
,,,4.0,248,3.73229718208313,0.016129032258064516,10.5523,5.876,1.516,,,,,
3.9942,7.656068325042725,0.005,5.0,310,,,,,,,,,,
,,,5.0,310,3.0688629150390625,0.22580645161290322,10.5717,5.865,1.513,,,,,
3.3813,3.8701913356781006,0.004,6.0,372,,,,,,,,,,
,,,6.0,372,3.1873269081115723,0.1774193548387097,10.5666,5.868,1.514,,,,,
3.1713,2.81960129737854,0.003,7.0,434,,,,,,,,,,
,,,7.0,434,2.9864935874938965,0.06451612903225806,10.5696,5.866,1.514,,,,,
2.9583,2.6479578018188477,0.002,8.0,496,,,,,,,,,,
,,,8.0,496,2.799532890319824,0.1774193548387097,10.5534,5.875,1.516,,,,,
2.8712,2.087822914123535,0.001,9.0,558,,,,,,,,,,
,,,9.0,558,2.7244961261749268,0.1774193548387097,10.5775,5.862,1.513,,,,,
2.7462,1.668277621269226,0.0,10.0,620,,,,,,,,,,
,,,10.0,620,2.6887807846069336,0.1774193548387097,10.5696,5.866,1.514,,,,,
,,,10.0,620,,,,,,12507.6954,0.198,0.05,2.761070292762624e+16,8.465020333566974
