,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.9066,2.231616497039795,9.8e-05,1.0,2,,,,,,,,,,
1,,,,1.0,2,2.8197197914123535,0.1774193548387097,0.1735,357.252,5.762,,,,,
2,2.7904,1.9839495420455933,9.6e-05,2.0,4,,,,,,,,,,
3,,,,2.0,4,2.670534133911133,0.1774193548387097,0.1717,361.077,5.824,,,,,
4,2.6827,3.1221463680267334,9.4e-05,3.0,6,,,,,,,,,,
5,,,,3.0,6,2.615241050720215,0.20967741935483872,0.1707,363.244,5.859,,,,,
6,2.5954,4.379243850708008,9.200000000000001e-05,4.0,8,,,,,,,,,,
7,,,,4.0,8,2.5240774154663086,0.22580645161290322,0.1725,359.348,5.796,,,,,
8,2.4434,3.5111327171325684,9e-05,5.0,10,,,,,,,,,,
9,,,,5.0,10,2.370328426361084,0.3387096774193548,0.1717,361.035,5.823,,,,,
10,2.2395,4.534859657287598,8.800000000000001e-05,6.0,12,,,,,,,,,,
11,,,,6.0,12,2.234600782394409,0.43548387096774194,0.172,360.493,5.814,,,,,
12,2.0118,5.675239086151123,8.6e-05,7.0,14,,,,,,,,,,
13,,,,7.0,14,2.121565341949463,0.41935483870967744,0.1714,361.715,5.834,,,,,
14,1.8069,5.289328098297119,8.4e-05,8.0,16,,,,,,,,,,
15,,,,8.0,16,2.0017871856689453,0.5,0.1733,357.751,5.77,,,,,
16,1.6163,6.2376179695129395,8.2e-05,9.0,18,,,,,,,,,,
17,,,,9.0,18,1.9125198125839233,0.5,0.1724,359.667,5.801,,,,,
18,1.4335,7.413430213928223,8e-05,10.0,20,,,,,,,,,,
19,,,,10.0,20,1.8232365846633911,0.5161290322580645,0.1731,358.232,5.778,,,,,
20,1.2429,6.576644420623779,7.800000000000001e-05,11.0,22,,,,,,,,,,
21,,,,11.0,22,1.7865017652511597,0.5483870967741935,0.1719,360.722,5.818,,,,,
22,1.0853,5.249236106872559,7.6e-05,12.0,24,,,,,,,,,,
23,,,,12.0,24,1.7622454166412354,0.532258064516129,0.1713,361.9,5.837,,,,,
24,0.9184,4.114957809448242,7.4e-05,13.0,26,,,,,,,,,,
25,,,,13.0,26,1.7475782632827759,0.5645161290322581,0.1716,361.263,5.827,,,,,
26,0.7928,4.991061687469482,7.2e-05,14.0,28,,,,,,,,,,
27,,,,14.0,28,1.747484803199768,0.5645161290322581,0.2998,206.771,3.335,,,,,
28,0.6421,3.9263105392456055,7e-05,15.0,30,,,,,,,,,,
29,,,,15.0,30,1.7878369092941284,0.5806451612903226,0.1722,359.994,5.806,,,,,
30,0.5616,3.22021222114563,6.800000000000001e-05,16.0,32,,,,,,,,,,
31,,,,16.0,32,1.809114933013916,0.5645161290322581,0.173,358.433,5.781,,,,,
32,0.4856,4.815164566040039,6.6e-05,17.0,34,,,,,,,,,,
33,,,,17.0,34,1.8801047801971436,0.5161290322580645,0.1716,361.332,5.828,,,,,
