loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8289,3.1794488430023193,9.8e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.625340461730957,0.1746031746031746,0.1652,381.375,6.054,,,,,
2.4696,3.135270118713379,9.6e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.4063472747802734,0.2698412698412698,0.1654,380.911,6.046,,,,,
2.1037,3.386270046234131,9.4e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.1355702877044678,0.3968253968253968,0.1647,382.433,6.07,,,,,
1.6078,2.883232593536377,9.200000000000001e-05,4.0,8,,,,,,,,,,
,,,4.0,8,1.8885711431503296,0.5238095238095238,0.1649,381.979,6.063,,,,,
1.2357,2.9105350971221924,9e-05,5.0,10,,,,,,,,,,
,,,5.0,10,1.6860039234161377,0.5238095238095238,0.1654,380.79,6.044,,,,,
0.9175,2.5188374519348145,8.800000000000001e-05,6.0,12,,,,,,,,,,
,,,6.0,12,1.5261659622192383,0.5873015873015873,0.1654,380.96,6.047,,,,,
0.7061,2.8956425189971924,8.6e-05,7.0,14,,,,,,,,,,
,,,7.0,14,1.4366284608840942,0.5238095238095238,0.1655,380.676,6.042,,,,,
0.5193,1.8441898822784424,8.4e-05,8.0,16,,,,,,,,,,
,,,8.0,16,1.4074931144714355,0.5396825396825397,0.1654,381.0,6.048,,,,,
0.3979,1.9897208213806152,8.2e-05,9.0,18,,,,,,,,,,
,,,9.0,18,1.3267592191696167,0.6031746031746031,0.1656,380.483,6.039,,,,,
0.3143,1.7192742824554443,8e-05,10.0,20,,,,,,,,,,
,,,10.0,20,1.3541462421417236,0.5238095238095238,0.1657,380.171,6.034,,,,,
0.2595,1.6916617155075073,7.800000000000001e-05,11.0,22,,,,,,,,,,
,,,11.0,22,1.390305519104004,0.5873015873015873,0.1665,378.339,6.005,,,,,
0.2257,1.4585424661636353,7.6e-05,12.0,24,,,,,,,,,,
,,,12.0,24,1.297080159187317,0.6031746031746031,0.1661,379.358,6.022,,,,,
0.2052,1.6246057748794556,7.4e-05,13.0,26,,,,,,,,,,
,,,13.0,26,1.3967766761779785,0.6031746031746031,0.1662,379.144,6.018,,,,,
0.1875,1.4733363389968872,7.2e-05,14.0,28,,,,,,,,,,
,,,14.0,28,1.3944975137710571,0.6031746031746031,0.1658,379.912,6.03,,,,,
0.1645,1.1405991315841675,7e-05,15.0,30,,,,,,,,,,
