loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9095,3.7123959064483643,9.8e-05,1.0,2,,,,,,,,,,
,,,1.0,2,2.5939180850982666,0.1774193548387097,0.1638,378.399,6.103,,,,,
2.5408,2.944420576095581,9.6e-05,2.0,4,,,,,,,,,,
,,,2.0,4,2.32655930519104,0.4838709677419355,0.1631,380.153,6.131,,,,,
2.2221,3.56461238861084,9.4e-05,3.0,6,,,,,,,,,,
,,,3.0,6,2.042311668395996,0.45161290322580644,0.1641,377.76,6.093,,,,,
1.8315,3.551776170730591,9.200000000000001e-05,4.0,8,,,,,,,,,,
,,,4.0,8,1.7515032291412354,0.6129032258064516,0.1648,376.276,6.069,,,,,
1.4539,3.5730528831481934,9e-05,5.0,10,,,,,,,,,,
,,,5.0,10,1.4528489112854004,0.7903225806451613,0.1651,375.442,6.056,,,,,
1.105,2.8091323375701904,8.800000000000001e-05,6.0,12,,,,,,,,,,
,,,6.0,12,1.2568256855010986,0.7741935483870968,0.1645,376.986,6.08,,,,,
0.8142,2.62575101852417,8.6e-05,7.0,14,,,,,,,,,,
,,,7.0,14,1.010448932647705,0.8387096774193549,0.1652,375.293,6.053,,,,,
0.5917,1.9000695943832397,8.4e-05,8.0,16,,,,,,,,,,
,,,8.0,16,0.8993827104568481,0.8064516129032258,0.164,378.111,6.099,,,,,
0.4415,1.9693686962127686,8.2e-05,9.0,18,,,,,,,,,,
,,,9.0,18,0.817237138748169,0.8387096774193549,0.1659,373.677,6.027,,,,,
0.3337,1.4591974020004272,8e-05,10.0,20,,,,,,,,,,
,,,10.0,20,0.7354227900505066,0.8548387096774194,0.165,375.695,6.06,,,,,
0.2644,1.6326509714126587,7.800000000000001e-05,11.0,22,,,,,,,,,,
,,,11.0,22,0.7000200748443604,0.8064516129032258,0.1655,374.695,6.043,,,,,
0.2254,1.355812668800354,7.6e-05,12.0,24,,,,,,,,,,
,,,12.0,24,0.7362183332443237,0.8225806451612904,0.2798,221.607,3.574,,,,,
0.2087,1.7583357095718384,7.4e-05,13.0,26,,,,,,,,,,
,,,13.0,26,0.7481316328048706,0.8225806451612904,0.1645,377.009,6.081,,,,,
0.1901,1.5283522605895996,7.2e-05,14.0,28,,,,,,,,,,
,,,14.0,28,0.6886677742004395,0.8387096774193549,0.1642,377.67,6.091,,,,,
0.171,1.5597625970840454,7e-05,15.0,30,,,,,,,,,,
,,,15.0,30,0.6686292290687561,0.8387096774193549,0.1639,378.165,6.099,,,,,
0.1536,1.1832363605499268,6.800000000000001e-05,16.0,32,,,,,,,,,,
,,,16.0,32,0.6682417988777161,0.8387096774193549,0.1634,379.33,6.118,,,,,
0.1588,1.7915022373199463,6.6e-05,17.0,34,,,,,,,,,,
,,,17.0,34,0.6830283999443054,0.8225806451612904,0.1657,374.267,6.037,,,,,
0.1425,1.0295705795288086,6.400000000000001e-05,18.0,36,,,,,,,,,,
,,,18.0,36,0.7074821591377258,0.8225806451612904,0.165,375.867,6.062,,,,,
0.1442,1.3108241558074951,6.2e-05,19.0,38,,,,,,,,,,
,,,19.0,38,0.7399551272392273,0.8225806451612904,0.1639,378.262,6.101,,,,,
0.1483,1.5009629726409912,6e-05,20.0,40,,,,,,,,,,
,,,20.0,40,0.7461199760437012,0.8064516129032258,0.1646,376.569,6.074,,,,,
0.1356,1.6646630764007568,5.8e-05,21.0,42,,,,,,,,,,
,,,21.0,42,0.7416776418685913,0.8225806451612904,0.1645,376.804,6.077,,,,,
0.1493,1.6236977577209473,5.6000000000000006e-05,22.0,44,,,,,,,,,,
,,,22.0,44,0.7278985381126404,0.8387096774193549,0.1651,375.594,6.058,,,,,
0.1367,1.1766737699508667,5.4000000000000005e-05,23.0,46,,,,,,,,,,
,,,23.0,46,0.7235503196716309,0.8064516129032258,0.1651,375.452,6.056,,,,,
0.1323,1.0733681917190552,5.2000000000000004e-05,24.0,48,,,,,,,,,,
,,,24.0,48,0.7173165082931519,0.7741935483870968,0.1643,377.382,6.087,,,,,
0.1266,0.7391961812973022,5e-05,25.0,50,,,,,,,,,,
,,,25.0,50,0.7060859799385071,0.8225806451612904,0.1649,376.077,6.066,,,,,
0.1269,1.0395606756210327,4.8e-05,26.0,52,,,,,,,,,,
,,,26.0,52,0.6990351676940918,0.8548387096774194,0.1657,374.204,6.036,,,,,
0.1253,0.7077345848083496,4.600000000000001e-05,27.0,54,,,,,,,,,,
,,,27.0,54,0.6831508874893188,0.8225806451612904,0.1638,378.509,6.105,,,,,
0.1209,0.8458400964736938,4.4000000000000006e-05,28.0,56,,,,,,,,,,
,,,28.0,56,0.6862179040908813,0.8064516129032258,0.1647,376.368,6.07,,,,,
0.1138,0.775061309337616,4.2e-05,29.0,58,,,,,,,,,,
,,,29.0,58,0.6947923302650452,0.7903225806451613,0.1652,375.267,6.053,,,,,
0.1303,1.4336563348770142,4e-05,30.0,60,,,,,,,,,,
,,,30.0,60,0.7131635546684265,0.8064516129032258,0.1643,377.435,6.088,,,,,
0.1238,1.0650960206985474,3.8e-05,31.0,62,,,,,,,,,,
,,,31.0,62,0.728925883769989,0.8225806451612904,0.1639,378.215,6.1,,,,,
0.115,0.6594712138175964,3.6e-05,32.0,64,,,,,,,,,,
,,,32.0,64,0.7342410087585449,0.8387096774193549,0.1652,375.261,6.053,,,,,
0.1198,0.823034405708313,3.4000000000000007e-05,33.0,66,,,,,,,,,,
,,,33.0,66,0.7348904609680176,0.8548387096774194,0.1649,376.07,6.066,,,,,
0.1191,1.0184361934661865,3.2000000000000005e-05,34.0,68,,,,,,,,,,
,,,34.0,68,0.7362170219421387,0.8548387096774194,0.1654,374.802,6.045,,,,,
0.1184,0.7755086421966553,3e-05,35.0,70,,,,,,,,,,
,,,35.0,70,0.7308193445205688,0.8548387096774194,0.165,375.813,6.061,,,,,
0.1209,0.777738094329834,2.8000000000000003e-05,36.0,72,,,,,,,,,,
,,,36.0,72,0.7202491164207458,0.8387096774193549,0.1661,373.269,6.02,,,,,
0.11,0.6881616711616516,2.6000000000000002e-05,37.0,74,,,,,,,,,,
,,,37.0,74,0.7138617038726807,0.8387096774193549,0.1646,376.597,6.074,,,,,
0.1128,0.8774896264076233,2.4e-05,38.0,76,,,,,,,,,,
,,,38.0,76,0.7114745378494263,0.7903225806451613,0.1649,375.907,6.063,,,,,
0.1152,0.78531414270401,2.2000000000000003e-05,39.0,78,,,,,,,,,,
,,,39.0,78,0.7048566341400146,0.8225806451612904,0.2805,221.049,3.565,,,,,
0.1155,0.7670285701751709,2e-05,40.0,80,,,,,,,,,,
,,,40.0,80,0.704099178314209,0.8225806451612904,0.1654,374.842,6.046,,,,,
0.1135,0.8119659423828125,1.8e-05,41.0,82,,,,,,,,,,
,,,41.0,82,0.7083122134208679,0.8387096774193549,0.1649,375.894,6.063,,,,,
0.1107,0.6904323101043701,1.6000000000000003e-05,42.0,84,,,,,,,,,,
,,,42.0,84,0.7139230966567993,0.8387096774193549,0.1645,376.99,6.08,,,,,
0.1112,0.6614524126052856,1.4000000000000001e-05,43.0,86,,,,,,,,,,
,,,43.0,86,0.7166778445243835,0.8387096774193549,0.1654,374.827,6.046,,,,,
0.1132,0.8902807831764221,1.2e-05,44.0,88,,,,,,,,,,
,,,44.0,88,0.7165717482566833,0.8548387096774194,0.1641,377.707,6.092,,,,,
0.1054,0.731235921382904,1e-05,45.0,90,,,,,,,,,,
,,,45.0,90,0.7140982151031494,0.8548387096774194,0.1653,375.118,6.05,,,,,
0.1134,0.79917311668396,8.000000000000001e-06,46.0,92,,,,,,,,,,
,,,46.0,92,0.710272490978241,0.8387096774193549,0.1649,376.074,6.066,,,,,
0.1105,0.7940534949302673,6e-06,47.0,94,,,,,,,,,,
,,,47.0,94,0.7091784477233887,0.8387096774193549,0.166,373.451,6.023,,,,,
0.1099,0.5634286403656006,4.000000000000001e-06,48.0,96,,,,,,,,,,
,,,48.0,96,0.7076236605644226,0.8387096774193549,0.1657,374.185,6.035,,,,,
0.1016,0.8326787352561951,2.0000000000000003e-06,49.0,98,,,,,,,,,,
,,,49.0,98,0.7065176367759705,0.8387096774193549,0.1661,373.241,6.02,,,,,
0.1042,0.6543073058128357,0.0,50.0,100,,,,,,,,,,
,,,50.0,100,0.7064167261123657,0.8387096774193549,0.1678,369.513,5.96,,,,,
,,,50.0,100,,,,,,89.2586,138.922,1.12,3263075073638400.0,0.39225281447172167
