loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8951,2.2180511951446533,9e-05,1.0,3,,,,,
2.7216,3.1886379718780518,8e-05,2.0,6,,,,,
2.6325,3.2671422958374023,7e-05,3.0,9,,,,,
2.4628,3.9906868934631348,6e-05,4.0,12,,,,,
2.1925,5.823105335235596,5e-05,5.0,15,,,,,
1.9308,7.053003311157227,4e-05,6.0,18,,,,,
1.7635,6.421844005584717,3e-05,7.0,21,,,,,
1.6045,6.213110446929932,2e-05,8.0,24,,,,,
1.538,7.69466495513916,1e-05,9.0,27,,,,,
1.4564,5.777027606964111,0.0,10.0,30,,,,,
,,,10.0,30,23.0665,134.394,1.301,815768768409600.0,2.1197664896647135
