loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.7158,2.107963800430298,9.857142857142858e-05,0.8,2,,,,,
2.3426,1.7327114343643188,9.642857142857143e-05,2.0,5,,,,,
3.3695,1.6753250360488892,9.5e-05,2.8,7,,,,,
2.1404,2.1741561889648438,9.285714285714286e-05,4.0,10,,,,,
3.0763,2.612618923187256,9.142857142857143e-05,4.8,12,,,,,
1.968,2.458982467651367,8.92857142857143e-05,6.0,15,,,,,
2.8181,2.599254608154297,8.785714285714286e-05,6.8,17,,,,,
1.8043,3.840794324874878,8.571428571428571e-05,8.0,20,,,,,
2.5841,2.6255075931549072,8.428571428571429e-05,8.8,22,,,,,
1.656,2.6041347980499268,8.214285714285714e-05,10.0,25,,,,,
2.3124,2.3261466026306152,8.071428571428573e-05,10.8,27,,,,,
1.4859,2.664792537689209,7.857142857142858e-05,12.0,30,,,,,
2.1246,2.2723121643066406,7.714285714285715e-05,12.8,32,,,,,
1.3319,2.6877429485321045,7.500000000000001e-05,14.0,35,,,,,
1.8614,2.383904457092285,7.357142857142858e-05,14.8,37,,,,,
1.1779,2.4994919300079346,7.142857142857143e-05,16.0,40,,,,,
1.6913,2.2549145221710205,7e-05,16.8,42,,,,,
1.0746,2.3330349922180176,6.785714285714286e-05,18.0,45,,,,,
1.5302,2.2673254013061523,6.642857142857143e-05,18.8,47,,,,,
0.9546,2.5057454109191895,6.428571428571429e-05,20.0,50,,,,,
1.3711,2.3424484729766846,6.285714285714286e-05,20.8,52,,,,,
0.871,2.384763479232788,6.0714285714285715e-05,22.0,55,,,,,
1.2445,2.0123608112335205,5.928571428571429e-05,22.8,57,,,,,
0.7965,2.5296177864074707,5.714285714285714e-05,24.0,60,,,,,
1.1371,2.2248520851135254,5.571428571428572e-05,24.8,62,,,,,
0.7181,2.106666088104248,5.3571428571428575e-05,26.0,65,,,,,
1.0005,2.010331630706787,5.214285714285715e-05,26.8,67,,,,,
0.6414,2.1535701751708984,5e-05,28.0,70,,,,,
0.9735,1.8299566507339478,4.8571428571428576e-05,28.8,72,,,,,
0.6138,2.040156841278076,4.642857142857143e-05,30.0,75,,,,,
0.8841,1.885288953781128,4.5e-05,30.8,77,,,,,
0.569,2.0738272666931152,4.2857142857142856e-05,32.0,80,,,,,
0.8137,1.887774109840393,4.1428571428571437e-05,32.8,82,,,,,
0.5327,1.981917142868042,3.928571428571429e-05,34.0,85,,,,,
0.7624,1.851171851158142,3.785714285714286e-05,34.8,87,,,,,
0.4977,2.3958120346069336,3.571428571428572e-05,36.0,90,,,,,
0.7309,1.5672192573547363,3.428571428571429e-05,36.8,92,,,,,
0.4859,2.1483500003814697,3.2142857142857144e-05,38.0,95,,,,,
0.6836,1.7722859382629395,3.071428571428572e-05,38.8,97,,,,,
0.45,1.9192662239074707,2.857142857142857e-05,40.0,100,,,,,
0.634,1.8240854740142822,2.714285714285714e-05,40.8,102,,,,,
0.4229,1.669541358947754,2.5e-05,42.0,105,,,,,
0.5838,1.6230334043502808,2.357142857142857e-05,42.8,107,,,,,
0.401,1.9381017684936523,2.1428571428571428e-05,44.0,110,,,,,
0.5952,1.9266681671142578,2e-05,44.8,112,,,,,
0.4083,1.7127398252487183,1.785714285714286e-05,46.0,115,,,,,
0.6331,1.8009333610534668,1.642857142857143e-05,46.8,117,,,,,
0.394,1.8062413930892944,1.4285714285714285e-05,48.0,120,,,,,
0.5903,1.6807334423065186,1.2857142857142857e-05,48.8,122,,,,,
0.3591,1.9303815364837646,1.0714285714285714e-05,50.0,125,,,,,
0.5213,1.8552998304367065,9.285714285714286e-06,50.8,127,,,,,
0.3766,1.7494832277297974,7.142857142857143e-06,52.0,130,,,,,
0.557,1.7900289297103882,5.7142857142857145e-06,52.8,132,,,,,
0.3521,1.560989260673523,3.5714285714285714e-06,54.0,135,,,,,
0.5207,1.5491231679916382,2.142857142857143e-06,54.8,137,,,,,
0.3659,1.7964600324630737,0.0,56.0,140,,,,,
,,,56.0,140,378.3483,57.355,0.37,1.060378440769536e+16,1.101545853274209
