loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8447,3.7371928691864014,9.857142857142858e-05,1.0,3,,,,,
2.588,3.7464849948883057,9.714285714285715e-05,2.0,6,,,,,
2.1442,4.223402976989746,9.571428571428573e-05,3.0,9,,,,,
1.6507,3.900219678878784,9.428571428571429e-05,4.0,12,,,,,
1.2238,3.280245065689087,9.285714285714286e-05,5.0,15,,,,,
0.8771,3.5535643100738525,9.142857142857143e-05,6.0,18,,,,,
0.6705,3.6027944087982178,9e-05,7.0,21,,,,,
0.4809,3.5097126960754395,8.857142857142857e-05,8.0,24,,,,,
0.3903,3.394780397415161,8.714285714285715e-05,9.0,27,,,,,
0.3115,3.047032356262207,8.571428571428571e-05,10.0,30,,,,,
0.2332,2.1165175437927246,8.428571428571429e-05,11.0,33,,,,,
0.2212,1.9057514667510986,8.285714285714287e-05,12.0,36,,,,,
0.203,2.5999341011047363,8.142857142857143e-05,13.0,39,,,,,
0.1935,2.5679967403411865,8e-05,14.0,42,,,,,
0.1764,2.37257981300354,7.857142857142858e-05,15.0,45,,,,,
0.1539,2.1059157848358154,7.714285714285715e-05,16.0,48,,,,,
0.1811,2.4594879150390625,7.571428571428571e-05,17.0,51,,,,,
0.1467,1.37393057346344,7.428571428571429e-05,18.0,54,,,,,
0.1544,1.6130043268203735,7.285714285714286e-05,19.0,57,,,,,
0.1517,1.904907464981079,7.142857142857143e-05,20.0,60,,,,,
0.1364,1.5456486940383911,7e-05,21.0,63,,,,,
0.1352,1.3567233085632324,6.857142857142858e-05,22.0,66,,,,,
0.1309,1.7675223350524902,6.714285714285714e-05,23.0,69,,,,,
0.1511,2.135930061340332,6.571428571428571e-05,24.0,72,,,,,
0.1285,1.1092835664749146,6.428571428571429e-05,25.0,75,,,,,
0.1329,1.4725944995880127,6.285714285714286e-05,26.0,78,,,,,
0.1139,1.0232561826705933,6.142857142857143e-05,27.0,81,,,,,
0.1264,1.0660876035690308,6e-05,28.0,84,,,,,
0.1476,1.7744370698928833,5.8571428571428575e-05,29.0,87,,,,,
0.127,1.4614856243133545,5.714285714285714e-05,30.0,90,,,,,
0.1345,1.5908793210983276,5.571428571428572e-05,31.0,93,,,,,
0.111,0.7914169430732727,5.428571428571428e-05,32.0,96,,,,,
0.1102,0.8158902525901794,5.285714285714286e-05,33.0,99,,,,,
0.0996,0.7711467742919922,5.142857142857143e-05,34.0,102,,,,,
0.128,1.3474880456924438,5e-05,35.0,105,,,,,
0.1191,1.0869286060333252,4.8571428571428576e-05,36.0,108,,,,,
0.1183,1.1637852191925049,4.714285714285714e-05,37.0,111,,,,,
0.1252,1.1806238889694214,4.5714285714285716e-05,38.0,114,,,,,
0.1316,1.6393609046936035,4.428571428571428e-05,39.0,117,,,,,
0.1128,1.394701361656189,4.2857142857142856e-05,40.0,120,,,,,
0.1052,0.8375271558761597,4.1428571428571437e-05,41.0,123,,,,,
0.1184,1.0515460968017578,4e-05,42.0,126,,,,,
0.1143,1.0233885049819946,3.857142857142858e-05,43.0,129,,,,,
0.1047,1.1023659706115723,3.7142857142857143e-05,44.0,132,,,,,
0.109,0.8710741996765137,3.571428571428572e-05,45.0,135,,,,,
0.1119,1.4207569360733032,3.428571428571429e-05,46.0,138,,,,,
0.1024,0.7450466156005859,3.285714285714286e-05,47.0,141,,,,,
0.1179,0.9760960340499878,3.142857142857143e-05,48.0,144,,,,,
0.1084,0.881192684173584,3e-05,49.0,147,,,,,
0.1174,1.1352360248565674,2.857142857142857e-05,50.0,150,,,,,
0.1033,0.9146999716758728,2.714285714285714e-05,51.0,153,,,,,
0.1146,1.4596507549285889,2.5714285714285714e-05,52.0,156,,,,,
0.1094,1.078381896018982,2.4285714285714288e-05,53.0,159,,,,,
0.0982,0.8326921463012695,2.2857142857142858e-05,54.0,162,,,,,
0.1083,1.338950753211975,2.1428571428571428e-05,55.0,165,,,,,
0.1077,0.7802765965461731,2e-05,56.0,168,,,,,
0.1087,1.3049546480178833,1.8571428571428572e-05,57.0,171,,,,,
0.105,0.8517761826515198,1.7142857142857145e-05,58.0,174,,,,,
0.1029,1.0107804536819458,1.5714285714285715e-05,59.0,177,,,,,
0.0961,0.9063214659690857,1.4285714285714285e-05,60.0,180,,,,,
0.1062,1.1945606470108032,1.2857142857142857e-05,61.0,183,,,,,
0.112,1.4767619371414185,1.1428571428571429e-05,62.0,186,,,,,
0.1071,1.5226366519927979,1e-05,63.0,189,,,,,
0.1154,1.2456625699996948,8.571428571428573e-06,64.0,192,,,,,
0.1098,1.3272662162780762,7.142857142857143e-06,65.0,195,,,,,
0.0915,0.522485613822937,5.7142857142857145e-06,66.0,198,,,,,
0.0969,0.9265614151954651,4.285714285714286e-06,67.0,201,,,,,
0.1029,0.8818553686141968,2.8571428571428573e-06,68.0,204,,,,,
0.1016,0.879239022731781,1.4285714285714286e-06,69.0,207,,,,,
0.102,1.06267511844635,0.0,70.0,210,,,,,
,,,70.0,210,141.1041,153.787,1.488,5710381378867200.0,0.29608442400182994
