loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2946,5.25278902053833,9.8e-05,1.0,6,,,,,
2.9763,5.233997821807861,9.6e-05,2.0,12,,,,,
2.8847,5.101466178894043,9.4e-05,3.0,18,,,,,
2.8552,7.275619029998779,9.200000000000001e-05,4.0,24,,,,,
2.7839,6.050402641296387,9e-05,5.0,30,,,,,
2.7495,5.481289863586426,8.800000000000001e-05,6.0,36,,,,,
2.6024,9.410033226013184,8.6e-05,7.0,42,,,,,
2.4354,8.665007591247559,8.4e-05,8.0,48,,,,,
2.1809,15.19849967956543,8.2e-05,9.0,54,,,,,
1.8455,11.440192222595215,8e-05,10.0,60,,,,,
1.5738,10.703757286071777,7.800000000000001e-05,11.0,66,,,,,
1.2434,11.837939262390137,7.6e-05,12.0,72,,,,,
1.1114,14.738112449645996,7.4e-05,13.0,78,,,,,
0.9784,16.15639305114746,7.2e-05,14.0,84,,,,,
0.7617,12.820368766784668,7e-05,15.0,90,,,,,
0.5741,7.402647972106934,6.800000000000001e-05,16.0,96,,,,,
0.5077,9.07196044921875,6.6e-05,17.0,102,,,,,
0.4276,6.974945068359375,6.400000000000001e-05,18.0,108,,,,,
0.3214,3.3491859436035156,6.2e-05,19.0,114,,,,,
0.3452,10.576014518737793,6e-05,20.0,120,,,,,
0.3077,9.11913013458252,5.8e-05,21.0,126,,,,,
0.332,13.855327606201172,5.6000000000000006e-05,22.0,132,,,,,
0.2097,2.299670696258545,5.4000000000000005e-05,23.0,138,,,,,
0.2212,6.180527687072754,5.2000000000000004e-05,24.0,144,,,,,
0.2222,6.081162929534912,5e-05,25.0,150,,,,,
0.251,9.358600616455078,4.8e-05,26.0,156,,,,,
0.1815,2.1145741939544678,4.600000000000001e-05,27.0,162,,,,,
0.1965,4.558688163757324,4.4000000000000006e-05,28.0,168,,,,,
0.182,6.464239120483398,4.2e-05,29.0,174,,,,,
0.1708,1.6723493337631226,4e-05,30.0,180,,,,,
0.1711,3.3304827213287354,3.8e-05,31.0,186,,,,,
0.1909,8.91063404083252,3.6e-05,32.0,192,,,,,
0.1972,8.537468910217285,3.4000000000000007e-05,33.0,198,,,,,
0.1596,3.9292027950286865,3.2000000000000005e-05,34.0,204,,,,,
0.1558,4.967278480529785,3e-05,35.0,210,,,,,
0.1338,0.5029979348182678,2.8000000000000003e-05,36.0,216,,,,,
0.1577,6.723478317260742,2.6000000000000002e-05,37.0,222,,,,,
0.1374,4.013354301452637,2.4e-05,38.0,228,,,,,
0.135,3.2024662494659424,2.2000000000000003e-05,39.0,234,,,,,
0.1409,4.031540393829346,2e-05,40.0,240,,,,,
0.1563,6.38060998916626,1.8e-05,41.0,246,,,,,
0.1339,0.3099569082260132,1.6000000000000003e-05,42.0,252,,,,,
0.1353,3.9481418132781982,1.4000000000000001e-05,43.0,258,,,,,
0.1336,4.578840732574463,1.2e-05,44.0,264,,,,,
0.1408,4.729917049407959,1e-05,45.0,270,,,,,
0.1156,0.24572932720184326,8.000000000000001e-06,46.0,276,,,,,
0.1265,3.9152350425720215,6e-06,47.0,282,,,,,
0.1245,3.549079656600952,4.000000000000001e-06,48.0,288,,,,,
0.1119,1.9021704196929932,2.0000000000000003e-06,49.0,294,,,,,
0.1118,0.2784394919872284,0.0,50.0,300,,,,,
,,,50.0,300,220.9167,75.594,1.358,4395098719334400.0,0.7919485139846801
