loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.1732,5.393444061279297,9.8e-05,1.0,6,,,,,
2.8312,5.475039005279541,9.6e-05,2.0,12,,,,,
2.507,7.552290439605713,9.4e-05,3.0,18,,,,,
2.0175,10.559574127197266,9.200000000000001e-05,4.0,24,,,,,
1.4335,8.353497505187988,9e-05,5.0,30,,,,,
0.9698,5.824648857116699,8.800000000000001e-05,6.0,36,,,,,
0.648,8.82894229888916,8.6e-05,7.0,42,,,,,
0.448,7.507646560668945,8.4e-05,8.0,48,,,,,
0.3267,2.8896260261535645,8.2e-05,9.0,54,,,,,
0.2652,1.1137620210647583,8e-05,10.0,60,,,,,
0.2796,7.826192855834961,7.800000000000001e-05,11.0,66,,,,,
0.2713,5.598637104034424,7.6e-05,12.0,72,,,,,
0.2288,2.539102077484131,7.4e-05,13.0,78,,,,,
0.2903,8.189619064331055,7.2e-05,14.0,84,,,,,
0.2303,4.847710132598877,7e-05,15.0,90,,,,,
0.183,1.9139299392700195,6.800000000000001e-05,16.0,96,,,,,
0.1928,4.442656517028809,6.6e-05,17.0,102,,,,,
0.1659,3.3296706676483154,6.400000000000001e-05,18.0,108,,,,,
0.1519,0.4435475468635559,6.2e-05,19.0,114,,,,,
0.1803,4.240119457244873,6e-05,20.0,120,,,,,
0.1615,2.04541015625,5.8e-05,21.0,126,,,,,
0.2476,8.038311958312988,5.6000000000000006e-05,22.0,132,,,,,
0.1466,3.451106309890747,5.4000000000000005e-05,23.0,138,,,,,
0.1488,2.810861587524414,5.2000000000000004e-05,24.0,144,,,,,
0.1559,3.8296048641204834,5e-05,25.0,150,,,,,
0.1658,4.4889655113220215,4.8e-05,26.0,156,,,,,
0.1266,1.3987489938735962,4.600000000000001e-05,27.0,162,,,,,
0.1404,2.05049991607666,4.4000000000000006e-05,28.0,168,,,,,
0.1495,3.624058246612549,4.2e-05,29.0,174,,,,,
0.1259,1.128913402557373,4e-05,30.0,180,,,,,
0.1265,1.514625906944275,3.8e-05,31.0,186,,,,,
0.1419,4.222431182861328,3.6e-05,32.0,192,,,,,
0.1328,3.1917452812194824,3.4000000000000007e-05,33.0,198,,,,,
0.1223,2.0067901611328125,3.2000000000000005e-05,34.0,204,,,,,
0.1322,2.8892314434051514,3e-05,35.0,210,,,,,
0.1054,0.09474404901266098,2.8000000000000003e-05,36.0,216,,,,,
0.1323,3.531574010848999,2.6000000000000002e-05,37.0,222,,,,,
0.1145,1.817125916481018,2.4e-05,38.0,228,,,,,
0.1119,2.275402545928955,2.2000000000000003e-05,39.0,234,,,,,
0.1072,1.856870412826538,2e-05,40.0,240,,,,,
0.127,3.5564639568328857,1.8e-05,41.0,246,,,,,
0.1053,0.09606676548719406,1.6000000000000003e-05,42.0,252,,,,,
0.1109,2.130451202392578,1.4000000000000001e-05,43.0,258,,,,,
0.112,2.281343460083008,1.2e-05,44.0,264,,,,,
0.1157,2.7263286113739014,1e-05,45.0,270,,,,,
0.1013,0.08608756214380264,8.000000000000001e-06,46.0,276,,,,,
0.1041,1.8339118957519531,6e-06,47.0,282,,,,,
0.1092,2.7012381553649902,4.000000000000001e-06,48.0,288,,,,,
0.1035,1.5698871612548828,2.0000000000000003e-06,49.0,294,,,,,
0.0925,0.06929720193147659,0.0,50.0,300,,,,,
,,,50.0,300,199.7257,83.615,1.502,4395098719334400.0,0.4134293282032013
