loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.6081,5.791693210601807,9.857142857142858e-05,1.0,3,,,,,
3.2866,7.388271808624268,9.714285714285715e-05,2.0,6,,,,,
3.2979,40.658931732177734,9.571428571428573e-05,3.0,9,,,,,
3.1756,41.8568000793457,9.428571428571429e-05,4.0,12,,,,,
3.0569,5.585963726043701,9.285714285714286e-05,5.0,15,,,,,
2.9911,4.126318454742432,9.142857142857143e-05,6.0,18,,,,,
2.9918,4.465723991394043,9e-05,7.0,21,,,,,
2.9781,3.7190396785736084,8.857142857142857e-05,8.0,24,,,,,
2.9696,4.3712687492370605,8.714285714285715e-05,9.0,27,,,,,
2.9052,4.415334224700928,8.571428571428571e-05,10.0,30,,,,,
2.9831,3.890840768814087,8.428571428571429e-05,11.0,33,,,,,
2.9295,4.4047441482543945,8.285714285714287e-05,12.0,36,,,,,
2.9449,3.8007235527038574,8.142857142857143e-05,13.0,39,,,,,
2.9154,3.5864789485931396,8e-05,14.0,42,,,,,
2.9169,5.063769817352295,7.857142857142858e-05,15.0,45,,,,,
2.9789,2.908785343170166,7.714285714285715e-05,16.0,48,,,,,
2.9533,2.9701316356658936,7.571428571428571e-05,17.0,51,,,,,
2.9284,3.3963916301727295,7.428571428571429e-05,18.0,54,,,,,
2.9296,3.3892924785614014,7.285714285714286e-05,19.0,57,,,,,
2.9734,2.6199111938476562,7.142857142857143e-05,20.0,60,,,,,
2.9102,3.665088176727295,7e-05,21.0,63,,,,,
2.9501,3.2112882137298584,6.857142857142858e-05,22.0,66,,,,,
2.9075,3.830951452255249,6.714285714285714e-05,23.0,69,,,,,
2.9108,3.695079803466797,6.571428571428571e-05,24.0,72,,,,,
2.9476,3.204564094543457,6.428571428571429e-05,25.0,75,,,,,
2.9551,3.7840659618377686,6.285714285714286e-05,26.0,78,,,,,
2.9749,3.3908345699310303,6.142857142857143e-05,27.0,81,,,,,
2.961,2.5966696739196777,6e-05,28.0,84,,,,,
2.9459,2.8769233226776123,5.8571428571428575e-05,29.0,87,,,,,
2.9726,4.2923431396484375,5.714285714285714e-05,30.0,90,,,,,
2.9206,3.231987953186035,5.571428571428572e-05,31.0,93,,,,,
2.9018,3.7038557529449463,5.428571428571428e-05,32.0,96,,,,,
2.9195,3.0380735397338867,5.285714285714286e-05,33.0,99,,,,,
2.8947,3.274899482727051,5.142857142857143e-05,34.0,102,,,,,
2.9428,3.191331624984741,5e-05,35.0,105,,,,,
3.0227,4.505352973937988,4.8571428571428576e-05,36.0,108,,,,,
2.9667,3.568636417388916,4.714285714285714e-05,37.0,111,,,,,
2.8897,3.289797067642212,4.5714285714285716e-05,38.0,114,,,,,
2.9236,3.30096697807312,4.428571428571428e-05,39.0,117,,,,,
2.9518,3.735227346420288,4.2857142857142856e-05,40.0,120,,,,,
2.9554,4.014209747314453,4.1428571428571437e-05,41.0,123,,,,,
2.9545,2.9499542713165283,4e-05,42.0,126,,,,,
2.9372,3.2608282566070557,3.857142857142858e-05,43.0,129,,,,,
2.8806,3.1239736080169678,3.7142857142857143e-05,44.0,132,,,,,
2.9121,4.597074031829834,3.571428571428572e-05,45.0,135,,,,,
2.9382,3.2862741947174072,3.428571428571429e-05,46.0,138,,,,,
2.9387,3.6349804401397705,3.285714285714286e-05,47.0,141,,,,,
3.0027,3.0748291015625,3.142857142857143e-05,48.0,144,,,,,
2.9286,3.15636944770813,3e-05,49.0,147,,,,,
2.9563,2.8491578102111816,2.857142857142857e-05,50.0,150,,,,,
2.8753,2.2047693729400635,2.714285714285714e-05,51.0,153,,,,,
2.8791,2.8635497093200684,2.5714285714285714e-05,52.0,156,,,,,
3.0138,3.499239206314087,2.4285714285714288e-05,53.0,159,,,,,
2.9341,3.617976188659668,2.2857142857142858e-05,54.0,162,,,,,
2.9166,2.720212697982788,2.1428571428571428e-05,55.0,165,,,,,
2.9275,4.627084255218506,2e-05,56.0,168,,,,,
2.9587,3.3944568634033203,1.8571428571428572e-05,57.0,171,,,,,
2.9481,3.913114070892334,1.7142857142857145e-05,58.0,174,,,,,
2.9356,2.7387263774871826,1.5714285714285715e-05,59.0,177,,,,,
2.9015,3.5337376594543457,1.4285714285714285e-05,60.0,180,,,,,
3.0317,3.86194109916687,1.2857142857142857e-05,61.0,183,,,,,
2.8851,3.0707461833953857,1.1428571428571429e-05,62.0,186,,,,,
2.9663,3.2271320819854736,1e-05,63.0,189,,,,,
2.9022,4.703944206237793,8.571428571428573e-06,64.0,192,,,,,
2.9107,3.5914146900177,7.142857142857143e-06,65.0,195,,,,,
2.8854,2.9137189388275146,5.7142857142857145e-06,66.0,198,,,,,
2.948,3.1800646781921387,4.285714285714286e-06,67.0,201,,,,,
2.8911,3.2258338928222656,2.8571428571428573e-06,68.0,204,,,,,
2.9075,3.988339424133301,1.4285714285714286e-06,69.0,207,,,,,
2.9215,3.7425971031188965,0.0,70.0,210,,,,,
,,,70.0,210,591.7597,39.509,0.355,2.179069022398464e+16,2.9632632891337076
