loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2999,7.02792501449585,9.857142857142858e-05,1.0,3,,,,,
3.0418,6.190654754638672,9.714285714285715e-05,2.0,6,,,,,
3.0327,4.899645805358887,9.571428571428573e-05,3.0,9,,,,,
2.985,5.396382808685303,9.428571428571429e-05,4.0,12,,,,,
2.7895,8.873887062072754,9.285714285714286e-05,5.0,15,,,,,
2.4918,9.832659721374512,9.142857142857143e-05,6.0,18,,,,,
2.1547,13.085362434387207,9e-05,7.0,21,,,,,
1.8742,13.180754661560059,8.857142857142857e-05,8.0,24,,,,,
1.5109,9.376718521118164,8.714285714285715e-05,9.0,27,,,,,
1.281,19.742250442504883,8.571428571428571e-05,10.0,30,,,,,
1.1824,12.591976165771484,8.428571428571429e-05,11.0,33,,,,,
0.941,13.485523223876953,8.285714285714287e-05,12.0,36,,,,,
0.7786,9.710824966430664,8.142857142857143e-05,13.0,39,,,,,
0.6698,13.370393753051758,8e-05,14.0,42,,,,,
0.5073,11.619791984558105,7.857142857142858e-05,15.0,45,,,,,
0.4731,9.712104797363281,7.714285714285715e-05,16.0,48,,,,,
0.3638,5.3596649169921875,7.571428571428571e-05,17.0,51,,,,,
0.368,9.510017395019531,7.428571428571429e-05,18.0,54,,,,,
0.2952,7.405791282653809,7.285714285714286e-05,19.0,57,,,,,
0.2844,7.361132621765137,7.142857142857143e-05,20.0,60,,,,,
0.2684,6.7999372482299805,7e-05,21.0,63,,,,,
0.2979,7.972141742706299,6.857142857142858e-05,22.0,66,,,,,
0.1986,3.685237169265747,6.714285714285714e-05,23.0,69,,,,,
0.1969,5.314728736877441,6.571428571428571e-05,24.0,72,,,,,
0.2063,4.39537239074707,6.428571428571429e-05,25.0,75,,,,,
0.1822,4.28400993347168,6.285714285714286e-05,26.0,78,,,,,
0.193,5.682149410247803,6.142857142857143e-05,27.0,81,,,,,
0.1653,3.8905129432678223,6e-05,28.0,84,,,,,
0.1946,4.424128532409668,5.8571428571428575e-05,29.0,87,,,,,
0.171,5.07261848449707,5.714285714285714e-05,30.0,90,,,,,
0.1654,6.8197340965271,5.571428571428572e-05,31.0,93,,,,,
0.1565,2.142461061477661,5.428571428571428e-05,32.0,96,,,,,
0.1854,3.7180073261260986,5.285714285714286e-05,33.0,99,,,,,
0.1547,3.0085561275482178,5.142857142857143e-05,34.0,102,,,,,
0.1459,1.9802286624908447,5e-05,35.0,105,,,,,
0.1437,5.630589962005615,4.8571428571428576e-05,36.0,108,,,,,
0.1878,5.364208698272705,4.714285714285714e-05,37.0,111,,,,,
0.1404,3.5607552528381348,4.5714285714285716e-05,38.0,114,,,,,
0.1557,2.8381237983703613,4.428571428571428e-05,39.0,117,,,,,
0.1392,6.310505390167236,4.2857142857142856e-05,40.0,120,,,,,
0.1869,3.2312674522399902,4.1428571428571437e-05,41.0,123,,,,,
0.1302,1.9298439025878906,4e-05,42.0,126,,,,,
0.1395,2.1361939907073975,3.857142857142858e-05,43.0,129,,,,,
0.1352,4.950055122375488,3.7142857142857143e-05,44.0,132,,,,,
0.1282,2.0137929916381836,3.571428571428572e-05,45.0,135,,,,,
0.1239,1.7822264432907104,3.428571428571429e-05,46.0,138,,,,,
0.1253,2.7979748249053955,3.285714285714286e-05,47.0,141,,,,,
0.1437,2.98374605178833,3.142857142857143e-05,48.0,144,,,,,
0.1199,1.4180372953414917,3e-05,49.0,147,,,,,
0.1099,0.8420076966285706,2.857142857142857e-05,50.0,150,,,,,
0.1172,1.6341875791549683,2.714285714285714e-05,51.0,153,,,,,
0.1136,1.2468560934066772,2.5714285714285714e-05,52.0,156,,,,,
0.1245,2.9907267093658447,2.4285714285714288e-05,53.0,159,,,,,
0.1286,2.2466228008270264,2.2857142857142858e-05,54.0,162,,,,,
0.126,3.242039918899536,2.1428571428571428e-05,55.0,165,,,,,
0.1263,2.0838234424591064,2e-05,56.0,168,,,,,
0.1208,2.33359432220459,1.8571428571428572e-05,57.0,171,,,,,
0.115,1.3828916549682617,1.7142857142857145e-05,58.0,174,,,,,
0.13,4.832492351531982,1.5714285714285715e-05,59.0,177,,,,,
0.1429,3.322549343109131,1.4285714285714285e-05,60.0,180,,,,,
0.1364,3.069676160812378,1.2857142857142857e-05,61.0,183,,,,,
0.1313,2.0428359508514404,1.1428571428571429e-05,62.0,186,,,,,
0.0981,0.6703487634658813,1e-05,63.0,189,,,,,
0.1007,0.6508491635322571,8.571428571428573e-06,64.0,192,,,,,
0.1174,1.2330163717269897,7.142857142857143e-06,65.0,195,,,,,
0.0967,0.6862280964851379,5.7142857142857145e-06,66.0,198,,,,,
0.1058,1.1143746376037598,4.285714285714286e-06,67.0,201,,,,,
0.121,2.5756075382232666,2.8571428571428573e-06,68.0,204,,,,,
0.1258,2.479466438293457,1.4285714285714286e-06,69.0,207,,,,,
0.1267,2.511491060256958,0.0,70.0,210,,,,,
,,,70.0,210,624.1193,37.461,0.336,2.179069022398464e+16,0.538882034591266
