loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.2642,6.232211589813232,9.8e-05,1.0,6,,,,,
2.97,4.730652809143066,9.6e-05,2.0,12,,,,,
2.7921,9.48027515411377,9.4e-05,3.0,18,,,,,
2.3058,7.873867034912109,9.200000000000001e-05,4.0,24,,,,,
1.9339,7.961737632751465,9e-05,5.0,30,,,,,
1.5694,8.36180591583252,8.800000000000001e-05,6.0,36,,,,,
1.3607,10.16291332244873,8.6e-05,7.0,42,,,,,
1.2039,9.544626235961914,8.4e-05,8.0,48,,,,,
1.0719,11.468732833862305,8.2e-05,9.0,54,,,,,
0.853,11.547965049743652,8e-05,10.0,60,,,,,
0.7716,8.305882453918457,7.800000000000001e-05,11.0,66,,,,,
0.6546,14.98493766784668,7.6e-05,12.0,72,,,,,
0.5898,8.154263496398926,7.4e-05,13.0,78,,,,,
0.5561,10.460838317871094,7.2e-05,14.0,84,,,,,
0.5204,5.301025390625,7e-05,15.0,90,,,,,
0.4608,13.078742980957031,6.800000000000001e-05,16.0,96,,,,,
0.4244,14.164788246154785,6.6e-05,17.0,102,,,,,
0.3934,14.507841110229492,6.400000000000001e-05,18.0,108,,,,,
0.2892,5.213101863861084,6.2e-05,19.0,114,,,,,
0.3053,5.316554546356201,6e-05,20.0,120,,,,,
0.2605,5.505242824554443,5.8e-05,21.0,126,,,,,
0.314,10.129745483398438,5.6000000000000006e-05,22.0,132,,,,,
0.2097,4.185014724731445,5.4000000000000005e-05,23.0,138,,,,,
0.2094,2.631326198577881,5.2000000000000004e-05,24.0,144,,,,,
0.2017,5.63407564163208,5e-05,25.0,150,,,,,
0.208,5.312763690948486,4.8e-05,26.0,156,,,,,
0.1883,8.723590850830078,4.600000000000001e-05,27.0,162,,,,,
0.1985,6.138889789581299,4.4000000000000006e-05,28.0,168,,,,,
0.1992,6.373714447021484,4.2e-05,29.0,174,,,,,
0.1741,3.218590021133423,4e-05,30.0,180,,,,,
0.1801,2.831930160522461,3.8e-05,31.0,186,,,,,
0.1652,3.4797847270965576,3.6e-05,32.0,192,,,,,
0.1801,6.166910648345947,3.4000000000000007e-05,33.0,198,,,,,
0.1519,4.255176544189453,3.2000000000000005e-05,34.0,204,,,,,
0.1579,2.843433141708374,3e-05,35.0,210,,,,,
0.1473,0.8185921907424927,2.8000000000000003e-05,36.0,216,,,,,
0.1716,4.898412227630615,2.6000000000000002e-05,37.0,222,,,,,
0.137,2.6111671924591064,2.4e-05,38.0,228,,,,,
0.1479,3.0052714347839355,2.2000000000000003e-05,39.0,234,,,,,
0.1349,2.25250244140625,2e-05,40.0,240,,,,,
0.1554,3.3310256004333496,1.8e-05,41.0,246,,,,,
0.1268,0.2586836814880371,1.6000000000000003e-05,42.0,252,,,,,
0.1525,2.7335808277130127,1.4000000000000001e-05,43.0,258,,,,,
0.1405,2.9745841026306152,1.2e-05,44.0,264,,,,,
0.1325,2.7091495990753174,1e-05,45.0,270,,,,,
0.1256,2.4078969955444336,8.000000000000001e-06,46.0,276,,,,,
0.1333,3.154616355895996,6e-06,47.0,282,,,,,
0.133,3.8122191429138184,4.000000000000001e-06,48.0,288,,,,,
0.1268,1.4757099151611328,2.0000000000000003e-06,49.0,294,,,,,
0.1167,0.23994700610637665,0.0,50.0,300,,,,,
,,,50.0,300,220.7829,75.64,1.359,4395098719334400.0,0.5874166117111842
