loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.4677,4.10774564743042,9.857142857142858e-05,1.0,3,,,,,
3.2334,8.21457576751709,9.714285714285715e-05,2.0,6,,,,,
2.9816,8.468358039855957,9.571428571428573e-05,3.0,9,,,,,
2.9056,6.7140302658081055,9.428571428571429e-05,4.0,12,,,,,
2.7148,5.488842487335205,9.285714285714286e-05,5.0,15,,,,,
2.5912,6.0207929611206055,9.142857142857143e-05,6.0,18,,,,,
2.5307,16.692365646362305,9e-05,7.0,21,,,,,
2.3864,5.2311577796936035,8.857142857142857e-05,8.0,24,,,,,
2.2311,6.7789106369018555,8.714285714285715e-05,9.0,27,,,,,
2.0303,6.153891086578369,8.571428571428571e-05,10.0,30,,,,,
1.9245,7.8977837562561035,8.428571428571429e-05,11.0,33,,,,,
1.7442,4.087939739227295,8.285714285714287e-05,12.0,36,,,,,
1.5983,4.675194263458252,8.142857142857143e-05,13.0,39,,,,,
1.4652,5.414625644683838,8e-05,14.0,42,,,,,
1.337,7.5471110343933105,7.857142857142858e-05,15.0,45,,,,,
1.2492,3.781672477722168,7.714285714285715e-05,16.0,48,,,,,
1.121,4.245395183563232,7.571428571428571e-05,17.0,51,,,,,
0.9947,4.456197261810303,7.428571428571429e-05,18.0,54,,,,,
0.9123,4.365416526794434,7.285714285714286e-05,19.0,57,,,,,
0.83,3.369246244430542,7.142857142857143e-05,20.0,60,,,,,
0.7631,3.4297964572906494,7e-05,21.0,63,,,,,
0.6896,3.247284173965454,6.857142857142858e-05,22.0,66,,,,,
0.6224,2.7129316329956055,6.714285714285714e-05,23.0,69,,,,,
0.5872,3.660327672958374,6.571428571428571e-05,24.0,72,,,,,
0.5179,2.5937232971191406,6.428571428571429e-05,25.0,75,,,,,
0.4818,2.118300437927246,6.285714285714286e-05,26.0,78,,,,,
0.4339,2.4776034355163574,6.142857142857143e-05,27.0,81,,,,,
0.4032,2.0261776447296143,6e-05,28.0,84,,,,,
0.3746,2.717832565307617,5.8571428571428575e-05,29.0,87,,,,,
0.337,2.2111928462982178,5.714285714285714e-05,30.0,90,,,,,
0.3551,3.1745715141296387,5.571428571428572e-05,31.0,93,,,,,
0.2913,1.4531469345092773,5.428571428571428e-05,32.0,96,,,,,
0.274,2.1496334075927734,5.285714285714286e-05,33.0,99,,,,,
0.2844,3.0103001594543457,5.142857142857143e-05,34.0,102,,,,,
0.2495,2.1210885047912598,5e-05,35.0,105,,,,,
0.2543,2.3144142627716064,4.8571428571428576e-05,36.0,108,,,,,
0.2397,1.770621418952942,4.714285714285714e-05,37.0,111,,,,,
0.2223,2.3555150032043457,4.5714285714285716e-05,38.0,114,,,,,
0.2257,2.1351318359375,4.428571428571428e-05,39.0,117,,,,,
0.2124,2.123885154724121,4.2857142857142856e-05,40.0,120,,,,,
0.2153,2.498244047164917,4.1428571428571437e-05,41.0,123,,,,,
0.2239,2.4897873401641846,4e-05,42.0,126,,,,,
0.2096,1.96524178981781,3.857142857142858e-05,43.0,129,,,,,
0.1886,1.6271811723709106,3.7142857142857143e-05,44.0,132,,,,,
0.2056,2.006366014480591,3.571428571428572e-05,45.0,135,,,,,
0.1914,1.9606128931045532,3.428571428571429e-05,46.0,138,,,,,
0.1854,1.7021379470825195,3.285714285714286e-05,47.0,141,,,,,
0.1857,1.7678940296173096,3.142857142857143e-05,48.0,144,,,,,
0.1764,1.2827776670455933,3e-05,49.0,147,,,,,
0.1809,1.6231573820114136,2.857142857142857e-05,50.0,150,,,,,
0.1637,1.2098385095596313,2.714285714285714e-05,51.0,153,,,,,
0.1659,1.27945077419281,2.5714285714285714e-05,52.0,156,,,,,
0.1697,1.7317124605178833,2.4285714285714288e-05,53.0,159,,,,,
0.1661,1.6191575527191162,2.2857142857142858e-05,54.0,162,,,,,
0.1736,2.384486675262451,2.1428571428571428e-05,55.0,165,,,,,
0.1576,1.3777927160263062,2e-05,56.0,168,,,,,
0.1568,1.6747150421142578,1.8571428571428572e-05,57.0,171,,,,,
0.1622,1.4228804111480713,1.7142857142857145e-05,58.0,174,,,,,
0.1504,1.5548887252807617,1.5714285714285715e-05,59.0,177,,,,,
0.1687,1.795825481414795,1.4285714285714285e-05,60.0,180,,,,,
0.1719,2.47479510307312,1.2857142857142857e-05,61.0,183,,,,,
0.1559,1.7509453296661377,1.1428571428571429e-05,62.0,186,,,,,
0.1541,1.0358179807662964,1e-05,63.0,189,,,,,
0.1452,1.2934547662734985,8.571428571428573e-06,64.0,192,,,,,
0.15,0.9829109907150269,7.142857142857143e-06,65.0,195,,,,,
0.1386,1.171281099319458,5.7142857142857145e-06,66.0,198,,,,,
0.1512,1.2027316093444824,4.285714285714286e-06,67.0,201,,,,,
0.1534,1.311240792274475,2.8571428571428573e-06,68.0,204,,,,,
0.1535,1.7621546983718872,1.4285714285714286e-06,69.0,207,,,,,
0.1483,1.8297758102416992,0.0,70.0,210,,,,,
,,,70.0,210,150.3315,155.523,1.397,6153138207068160.0,0.7598308221215293
