loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
8.7324,178.35009765625,9.857142857142858e-05,0.9090909090909091,5,,,,,
3.6483,20.6119384765625,9.685714285714286e-05,2.0,11,,,,,
2.5557,14.925344467163086,9.542857142857143e-05,2.909090909090909,16,,,,,
1.1976,29.859275817871094,9.371428571428572e-05,4.0,22,,,,,
0.7442,16.4356632232666,9.228571428571429e-05,4.909090909090909,27,,,,,
0.451,12.27281665802002,9.057142857142857e-05,6.0,33,,,,,
0.4262,9.856581687927246,8.914285714285715e-05,6.909090909090909,38,,,,,
0.2703,6.4049882888793945,8.742857142857144e-05,8.0,44,,,,,
0.3305,5.370134353637695,8.6e-05,8.909090909090908,49,,,,,
0.2449,11.778341293334961,8.428571428571429e-05,10.0,55,,,,,
0.2827,5.916343688964844,8.285714285714287e-05,10.909090909090908,60,,,,,
0.2584,3.862321138381958,8.114285714285714e-05,12.0,66,,,,,
0.2068,4.215404987335205,7.971428571428572e-05,12.909090909090908,71,,,,,
0.1794,7.350352764129639,7.800000000000001e-05,14.0,77,,,,,
0.2111,2.8412442207336426,7.657142857142857e-05,14.909090909090908,82,,,,,
0.1466,3.388979196548462,7.485714285714285e-05,16.0,88,,,,,
0.1979,16.866500854492188,7.342857142857144e-05,16.90909090909091,93,,,,,
0.1438,4.202389240264893,7.171428571428572e-05,18.0,99,,,,,
0.1581,3.8957676887512207,7.028571428571428e-05,18.90909090909091,104,,,,,
0.156,4.140762805938721,6.857142857142858e-05,20.0,110,,,,,
0.192,4.4311957359313965,6.714285714285714e-05,20.90909090909091,115,,,,,
0.1728,8.755367279052734,6.542857142857142e-05,22.0,121,,,,,
0.1616,2.4923741817474365,6.400000000000001e-05,22.90909090909091,126,,,,,
0.1478,6.9350786209106445,6.22857142857143e-05,24.0,132,,,,,
0.2025,2.809053659439087,6.085714285714286e-05,24.90909090909091,137,,,,,
0.1413,3.6410341262817383,5.914285714285714e-05,26.0,143,,,,,
0.1502,2.6937592029571533,5.771428571428572e-05,26.90909090909091,148,,,,,
0.1178,2.1714365482330322,5.6000000000000006e-05,28.0,154,,,,,
0.1447,2.0262253284454346,5.457142857142857e-05,28.90909090909091,159,,,,,
0.1213,2.405043363571167,5.285714285714286e-05,30.0,165,,,,,
0.1692,2.373161554336548,5.142857142857143e-05,30.90909090909091,170,,,,,
0.1164,2.4980225563049316,4.971428571428572e-05,32.0,176,,,,,
0.1572,3.357445001602173,4.828571428571429e-05,32.90909090909091,181,,,,,
0.1164,3.438685178756714,4.6571428571428575e-05,34.0,187,,,,,
0.1408,2.525444746017456,4.514285714285714e-05,34.90909090909091,192,,,,,
0.109,2.0277976989746094,4.342857142857143e-05,36.0,198,,,,,
0.1389,2.0977370738983154,4.2e-05,36.90909090909091,203,,,,,
0.1014,2.8695950508117676,4.028571428571429e-05,38.0,209,,,,,
0.1274,2.967785120010376,3.885714285714286e-05,38.90909090909091,214,,,,,
0.1047,2.1199162006378174,3.7142857142857143e-05,40.0,220,,,,,
0.1327,2.4445981979370117,3.571428571428572e-05,40.90909090909091,225,,,,,
0.1057,2.502918243408203,3.4000000000000007e-05,42.0,231,,,,,
0.1288,1.9360606670379639,3.257142857142857e-05,42.90909090909091,236,,,,,
0.105,2.8431477546691895,3.0857142857142856e-05,44.0,242,,,,,
0.1276,2.9307525157928467,2.9428571428571426e-05,44.90909090909091,247,,,,,
0.1021,2.474123239517212,2.7714285714285716e-05,46.0,253,,,,,
0.1213,2.16768741607666,2.6285714285714286e-05,46.90909090909091,258,,,,,
0.1086,4.764636516571045,2.4571428571428572e-05,48.0,264,,,,,
0.1184,2.072596788406372,2.3142857142857145e-05,48.90909090909091,269,,,,,
0.0957,1.8281800746917725,2.1428571428571428e-05,50.0,275,,,,,
0.1222,1.3456110954284668,2e-05,50.90909090909091,280,,,,,
0.0957,2.4100465774536133,1.8285714285714288e-05,52.0,286,,,,,
0.1255,2.8833391666412354,1.6857142857142858e-05,52.90909090909091,291,,,,,
0.0998,2.8300139904022217,1.5142857142857144e-05,54.0,297,,,,,
0.1235,3.7694590091705322,1.3714285714285716e-05,54.90909090909091,302,,,,,
0.0971,1.5615689754486084,1.2e-05,56.0,308,,,,,
0.1193,2.021926164627075,1.0571428571428572e-05,56.90909090909091,313,,,,,
0.0947,2.3075082302093506,8.857142857142857e-06,58.0,319,,,,,
0.1168,2.3198225498199463,7.428571428571429e-06,58.90909090909091,324,,,,,
0.1034,4.507737159729004,5.7142857142857145e-06,60.0,330,,,,,
0.1258,3.1926605701446533,4.285714285714286e-06,60.90909090909091,335,,,,,
0.0996,2.8166635036468506,2.5714285714285716e-06,62.0,341,,,,,
0.1077,2.3063340187072754,1.142857142857143e-06,62.90909090909091,346,,,,,
0.0922,1.6038542985916138,0.0,63.63636363636363,350,,,,,
,,,63.63636363636363,350,4404.2736,5.308,0.079,8.560655146470605e+16,0.397663134932518
