loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.6055,5.680584907531738,9.857142857142858e-05,1.0,3,,,,,
3.2922,5.5949625968933105,9.714285714285715e-05,2.0,6,,,,,
3.0615,3.1691315174102783,9.571428571428573e-05,3.0,9,,,,,
2.9687,4.542957782745361,9.428571428571429e-05,4.0,12,,,,,
2.811,4.317463397979736,9.285714285714286e-05,5.0,15,,,,,
2.5888,4.599076271057129,9.142857142857143e-05,6.0,18,,,,,
2.2726,8.14018726348877,9e-05,7.0,21,,,,,
1.9441,4.629135608673096,8.857142857142857e-05,8.0,24,,,,,
1.6178,5.2832231521606445,8.714285714285715e-05,9.0,27,,,,,
1.3489,5.3991546630859375,8.571428571428571e-05,10.0,30,,,,,
1.1801,4.384271144866943,8.428571428571429e-05,11.0,33,,,,,
0.9924,5.398098945617676,8.285714285714287e-05,12.0,36,,,,,
0.841,4.471264839172363,8.142857142857143e-05,13.0,39,,,,,
0.7452,3.560950756072998,8e-05,14.0,42,,,,,
0.6353,4.255338191986084,7.857142857142858e-05,15.0,45,,,,,
0.5728,4.272017002105713,7.714285714285715e-05,16.0,48,,,,,
0.5127,4.2777323722839355,7.571428571428571e-05,17.0,51,,,,,
0.4407,2.99381947517395,7.428571428571429e-05,18.0,54,,,,,
0.387,4.172152996063232,7.285714285714286e-05,19.0,57,,,,,
0.3699,4.524500370025635,7.142857142857143e-05,20.0,60,,,,,
0.3087,2.9055771827697754,7e-05,21.0,63,,,,,
0.3079,3.2038257122039795,6.857142857142858e-05,22.0,66,,,,,
0.2485,1.7540218830108643,6.714285714285714e-05,23.0,69,,,,,
0.2689,2.5534508228302,6.571428571428571e-05,24.0,72,,,,,
0.2272,2.400827407836914,6.428571428571429e-05,25.0,75,,,,,
0.2229,2.8609607219696045,6.285714285714286e-05,26.0,78,,,,,
0.1972,2.782064199447632,6.142857142857143e-05,27.0,81,,,,,
0.1892,1.6274150609970093,6e-05,28.0,84,,,,,
0.1738,1.997237205505371,5.8571428571428575e-05,29.0,87,,,,,
0.1803,2.0507383346557617,5.714285714285714e-05,30.0,90,,,,,
0.1818,2.134446144104004,5.571428571428572e-05,31.0,93,,,,,
0.1626,1.1772464513778687,5.428571428571428e-05,32.0,96,,,,,
0.1655,1.685836911201477,5.285714285714286e-05,33.0,99,,,,,
0.17,1.8160395622253418,5.142857142857143e-05,34.0,102,,,,,
0.1554,1.3256175518035889,5e-05,35.0,105,,,,,
0.1676,4.4286699295043945,4.8571428571428576e-05,36.0,108,,,,,
0.1536,1.5471934080123901,4.714285714285714e-05,37.0,111,,,,,
0.1512,1.3012261390686035,4.5714285714285716e-05,38.0,114,,,,,
0.1423,1.3755033016204834,4.428571428571428e-05,39.0,117,,,,,
0.1334,1.6057302951812744,4.2857142857142856e-05,40.0,120,,,,,
0.1389,1.496008038520813,4.1428571428571437e-05,41.0,123,,,,,
0.1455,1.5499430894851685,4e-05,42.0,126,,,,,
0.1327,1.0201053619384766,3.857142857142858e-05,43.0,129,,,,,
0.1303,1.6656558513641357,3.7142857142857143e-05,44.0,132,,,,,
0.1303,1.2104098796844482,3.571428571428572e-05,45.0,135,,,,,
0.1373,1.1906074285507202,3.428571428571429e-05,46.0,138,,,,,
0.1258,1.0600471496582031,3.285714285714286e-05,47.0,141,,,,,
0.1243,1.0943877696990967,3.142857142857143e-05,48.0,144,,,,,
0.1315,1.1731103658676147,3e-05,49.0,147,,,,,
0.1217,1.0331600904464722,2.857142857142857e-05,50.0,150,,,,,
0.1189,0.8968334197998047,2.714285714285714e-05,51.0,153,,,,,
0.1219,0.9368725419044495,2.5714285714285714e-05,52.0,156,,,,,
0.1251,1.249902606010437,2.4285714285714288e-05,53.0,159,,,,,
0.1279,1.2893871068954468,2.2857142857142858e-05,54.0,162,,,,,
0.1319,1.4290210008621216,2.1428571428571428e-05,55.0,165,,,,,
0.1232,1.0724449157714844,2e-05,56.0,168,,,,,
0.1257,1.1252113580703735,1.8571428571428572e-05,57.0,171,,,,,
0.1215,1.0061007738113403,1.7142857142857145e-05,58.0,174,,,,,
0.1235,1.1881868839263916,1.5714285714285715e-05,59.0,177,,,,,
0.126,1.0822722911834717,1.4285714285714285e-05,60.0,180,,,,,
0.1224,1.5299854278564453,1.2857142857142857e-05,61.0,183,,,,,
0.1292,0.9959281086921692,1.1428571428571429e-05,62.0,186,,,,,
0.1146,0.9075319766998291,1e-05,63.0,189,,,,,
0.1107,1.6191107034683228,8.571428571428573e-06,64.0,192,,,,,
0.113,0.8374490141868591,7.142857142857143e-06,65.0,195,,,,,
0.1099,0.8503581881523132,5.7142857142857145e-06,66.0,198,,,,,
0.1118,0.9585333466529846,4.285714285714286e-06,67.0,201,,,,,
0.1189,0.8716763854026794,2.8571428571428573e-06,68.0,204,,,,,
0.1099,1.1042087078094482,1.4285714285714286e-06,69.0,207,,,,,
0.1199,1.2941651344299316,0.0,70.0,210,,,,,
,,,70.0,210,504.3801,46.354,0.416,2.179069022398464e+16,0.56886539714677
