loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3593,2.4269497394561768,9.857142857142858e-05,1.0,3,,,,,
3.1193,3.3362016677856445,9.714285714285715e-05,2.0,6,,,,,
3.0152,3.2456676959991455,9.571428571428573e-05,3.0,9,,,,,
2.8775,4.483743190765381,9.428571428571429e-05,4.0,12,,,,,
2.7212,5.362817764282227,9.285714285714286e-05,5.0,15,,,,,
2.5888,3.9526727199554443,9.142857142857143e-05,6.0,18,,,,,
2.5184,4.064025402069092,9e-05,7.0,21,,,,,
2.4376,4.365793228149414,8.857142857142857e-05,8.0,24,,,,,
2.338,4.512803554534912,8.714285714285715e-05,9.0,27,,,,,
2.1312,4.603649616241455,8.571428571428571e-05,10.0,30,,,,,
2.0765,4.103007793426514,8.428571428571429e-05,11.0,33,,,,,
1.9461,4.061264991760254,8.285714285714287e-05,12.0,36,,,,,
1.8365,4.12852668762207,8.142857142857143e-05,13.0,39,,,,,
1.7565,3.9725706577301025,8e-05,14.0,42,,,,,
1.6393,4.694886684417725,7.857142857142858e-05,15.0,45,,,,,
1.6457,3.603433847427368,7.714285714285715e-05,16.0,48,,,,,
1.5782,4.248319149017334,7.571428571428571e-05,17.0,51,,,,,
1.436,3.097116708755493,7.428571428571429e-05,18.0,54,,,,,
1.3213,3.767242908477783,7.285714285714286e-05,19.0,57,,,,,
1.3194,3.1510701179504395,7.142857142857143e-05,20.0,60,,,,,
1.239,3.8273775577545166,7e-05,21.0,63,,,,,
1.2608,4.2638397216796875,6.857142857142858e-05,22.0,66,,,,,
1.146,3.621413230895996,6.714285714285714e-05,23.0,69,,,,,
1.1162,4.5026044845581055,6.571428571428571e-05,24.0,72,,,,,
1.0623,3.909989595413208,6.428571428571429e-05,25.0,75,,,,,
1.0949,3.626136064529419,6.285714285714286e-05,26.0,78,,,,,
1.0116,3.423447847366333,6.142857142857143e-05,27.0,81,,,,,
1.0001,4.4023919105529785,6e-05,28.0,84,,,,,
0.9604,5.401307582855225,5.8571428571428575e-05,29.0,87,,,,,
0.8876,3.2273523807525635,5.714285714285714e-05,30.0,90,,,,,
0.8434,3.414215087890625,5.571428571428572e-05,31.0,93,,,,,
0.8439,3.061121940612793,5.428571428571428e-05,32.0,96,,,,,
0.8309,3.6882717609405518,5.285714285714286e-05,33.0,99,,,,,
0.7573,2.753870725631714,5.142857142857143e-05,34.0,102,,,,,
0.7258,3.0826072692871094,5e-05,35.0,105,,,,,
0.7986,3.9873385429382324,4.8571428571428576e-05,36.0,108,,,,,
0.7597,3.1301729679107666,4.714285714285714e-05,37.0,111,,,,,
0.6907,3.2958269119262695,4.5714285714285716e-05,38.0,114,,,,,
0.7233,3.62131929397583,4.428571428571428e-05,39.0,117,,,,,
0.7037,3.8871631622314453,4.2857142857142856e-05,40.0,120,,,,,
0.6747,3.741615056991577,4.1428571428571437e-05,41.0,123,,,,,
0.6351,3.084254741668701,4e-05,42.0,126,,,,,
0.6231,3.547252655029297,3.857142857142858e-05,43.0,129,,,,,
0.5661,2.342717409133911,3.7142857142857143e-05,44.0,132,,,,,
0.5696,3.4103589057922363,3.571428571428572e-05,45.0,135,,,,,
0.5854,3.467695951461792,3.428571428571429e-05,46.0,138,,,,,
0.5544,3.069322347640991,3.285714285714286e-05,47.0,141,,,,,
0.6169,3.373404026031494,3.142857142857143e-05,48.0,144,,,,,
0.5508,2.7440483570098877,3e-05,49.0,147,,,,,
0.5227,2.0383875370025635,2.857142857142857e-05,50.0,150,,,,,
0.499,2.953524351119995,2.714285714285714e-05,51.0,153,,,,,
0.4821,2.2045459747314453,2.5714285714285714e-05,52.0,156,,,,,
0.5928,3.303562879562378,2.4285714285714288e-05,53.0,159,,,,,
0.5094,3.2768959999084473,2.2857142857142858e-05,54.0,162,,,,,
0.5021,3.3795642852783203,2.1428571428571428e-05,55.0,165,,,,,
0.4632,2.1465282440185547,2e-05,56.0,168,,,,,
0.4453,2.2758491039276123,1.8571428571428572e-05,57.0,171,,,,,
0.4791,2.683370351791382,1.7142857142857145e-05,58.0,174,,,,,
0.4954,3.5041394233703613,1.5714285714285715e-05,59.0,177,,,,,
0.5007,3.202899932861328,1.4285714285714285e-05,60.0,180,,,,,
0.5079,4.257695198059082,1.2857142857142857e-05,61.0,183,,,,,
0.4675,3.3874599933624268,1.1428571428571429e-05,62.0,186,,,,,
0.4396,1.9945558309555054,1e-05,63.0,189,,,,,
0.4242,1.6707252264022827,8.571428571428573e-06,64.0,192,,,,,
0.4053,1.9799309968948364,7.142857142857143e-06,65.0,195,,,,,
0.4249,1.9051541090011597,5.7142857142857145e-06,66.0,198,,,,,
0.4566,2.7069196701049805,4.285714285714286e-06,67.0,201,,,,,
0.4614,3.86850643157959,2.8571428571428573e-06,68.0,204,,,,,
0.414,2.7947065830230713,1.4285714285714286e-06,69.0,207,,,,,
0.4341,2.2793729305267334,0.0,70.0,210,,,,,
,,,70.0,210,646.5681,36.16,0.325,1.428156598020096e+16,1.1060220996538799
