loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9718,6.415959358215332,9.8e-05,1.0,3,,,,,,,,,,
,,,1.0,3,2.8208420276641846,0.1774193548387097,0.5102,121.51,1.96,,,,,
2.8443,5.4836297035217285,9.6e-05,2.0,6,,,,,,,,,,
,,,2.0,6,2.7459707260131836,0.1774193548387097,0.5114,121.229,1.955,,,,,
2.76,6.207979679107666,9.4e-05,3.0,9,,,,,,,,,,
,,,3.0,9,2.670396089553833,0.1774193548387097,0.6392,97.003,1.565,,,,,
2.831,7.915831089019775,9.200000000000001e-05,4.0,12,,,,,,,,,,
,,,4.0,12,2.588155508041382,0.1774193548387097,0.5164,120.058,1.936,,,,,
2.6376,8.317001342773438,9e-05,5.0,15,,,,,,,,,,
,,,5.0,15,2.5372653007507324,0.1774193548387097,0.5123,121.016,1.952,,,,,
2.7023,6.94205379486084,8.800000000000001e-05,6.0,18,,,,,,,,,,
,,,6.0,18,2.5033740997314453,0.20967741935483872,0.5114,121.229,1.955,,,,,
2.293,7.961174011230469,8.6e-05,7.0,21,,,,,,,,,,
,,,7.0,21,2.4459640979766846,0.20967741935483872,0.5147,120.455,1.943,,,,,
2.3133,9.460025787353516,8.4e-05,8.0,24,,,,,,,,,,
,,,8.0,24,2.397700071334839,0.2903225806451613,0.5152,120.336,1.941,,,,,
2.5148,12.086997985839844,8.2e-05,9.0,27,,,,,,,,,,
,,,9.0,27,2.337930917739868,0.3225806451612903,0.5143,120.559,1.944,,,,,
2.4536,8.079187393188477,8e-05,10.0,30,,,,,,,,,,
,,,10.0,30,2.2795307636260986,0.3387096774193548,0.5128,120.916,1.95,,,,,
2.2523,9.976161003112793,7.800000000000001e-05,11.0,33,,,,,,,,,,
,,,11.0,33,2.2350635528564453,0.3709677419354839,0.644,96.271,1.553,,,,,
2.0508,16.43102264404297,7.6e-05,12.0,36,,,,,,,,,,
,,,12.0,36,2.2072393894195557,0.3870967741935484,0.5151,120.36,1.941,,,,,
1.9095,12.282151222229004,7.4e-05,13.0,39,,,,,,,,,,
,,,13.0,39,2.1900813579559326,0.3709677419354839,0.5146,120.489,1.943,,,,,
2.1884,19.56233024597168,7.2e-05,14.0,42,,,,,,,,,,
,,,14.0,42,2.155769109725952,0.3870967741935484,0.5109,121.347,1.957,,,,,
1.9069,8.2317476272583,7e-05,15.0,45,,,,,,,,,,
,,,15.0,45,2.11812162399292,0.3870967741935484,0.5114,121.233,1.955,,,,,
1.9216,11.996360778808594,6.800000000000001e-05,16.0,48,,,,,,,,,,
